county,dem_votes,rep_votes,total_votes,year,office
Santa Clara,510744,210924,750433,2024,President
Santa Cruz,100998,27978,134135,2024,President
Shasta,27130,59539,88900,2024,President
Sierra,641,1066,1754,2024,President
Siskiyou,8329,12461,21489,2024,President
Solano,113997,70345,189834,2024,President
Sonoma,179600,63426,251426,2024,President
Stanislaus,85347,106986,197472,2024,President
Sutter,13016,25372,39336,2024,President
Tehama,7415,18503,26532,2024,President
Trinity,2449,2979,5645,2024,President
Tulare,53221,81854,138271,2024,President
Tuolumne,10909,17210,28810,2024,President
Ventura,217424,158901,387595,2024,President
Yolo,61405,27844,92589,2024,President
Yuba,10725,18491,30070,2024,President
