county,dem_votes,rep_votes,total_votes,year,office,state
Sutter,9082.0,19024.0,28106.0,2022,gov,CA
Tehama,5024.0,15607.0,20631.0,2022,gov,CA
Trinity,1860.0,2667.0,4527.0,2022,gov,CA
Tulare,33273.0,58053.0,91326.0,2022,gov,CA
Tuolumne,8471.0,14759.0,23230.0,2022,gov,CA
Ventura,153226.0,127709.0,280935.0,2022,gov,CA
Yolo,44328.0,22807.0,67135.0,2022,gov,CA
Yuba,6534.0,13097.0,19631.0,2022,gov,CA
Alameda,499551.0,140789.0,669907.0,2024,pres,CA
Alpine,479.0,243.0,738.0,2024,pres,CA
Amador,7783.0,14018.0,22403.0,2024,pres,CA
Butte,44228.0,47179.0,94556.0,2024,pres,CA
Calaveras,9181.0,16625.0,26480.0,2024,pres,CA
Colusa,2431.0,4414.0,7021.0,2024,pres,CA
Contra Costa,356008.0,155308.0,528987.0,2024,pres,CA
Del Norte,4266.0,5999.0,10565.0,2024,pres,CA
El Dorado,47703.0,61109.0,111908.0,2024,pres,CA
Fresno,151628.0,165924.0,326049.0,2024,pres,CA
Glenn,3260.0,6904.0,10442.0,2024,pres,CA
Humboldt,39800.0,21559.0,64232.0,2024,pres,CA
Imperial,26083.0,26546.0,54038.0,2024,pres,CA
Inyo,4201.0,4468.0,8953.0,2024,pres,CA
Kern,108241.0,167879.0,283284.0,2024,pres,CA
Kings,15519.0,25074.0,41508.0,2024,pres,CA
Lake,12794.0,13161.0,26761.0,2024,pres,CA
Lassen,2478.0,8619.0,11371.0,2024,pres,CA
Los Angeles,2417109.0,1189862.0,3729089.0,2024,pres,CA
Madera,20981.0,32344.0,54632.0,2024,pres,CA
Marin,116152.0,24054.0,144129.0,2024,pres,CA
Mariposa,3622.0,5625.0,9509.0,2024,pres,CA
Mendocino,24049.0,13528.0,39219.0,2024,pres,CA
Merced,40190.0,43955.0,86411.0,2024,pres,CA
Modoc,1008.0,2884.0,4016.0,2024,pres,CA
Mono,3522.0,2294.0,6064.0,2024,pres,CA
Monterey,93060.0,49226.0,146754.0,2024,pres,CA
Napa,43212.0,20357.0,65561.0,2024,pres,CA
Nevada,33784.0,26177.0,62144.0,2024,pres,CA
Orange,691731.0,654815.0,1391307.0,2024,pres,CA
Placer,103958.0,123941.0,234871.0,2024,pres,CA
Plumas,4020.0,5725.0,10070.0,2024,pres,CA
Riverside,451782.0,463677.0,940510.0,2024,pres,CA
Sacramento,381564.0,252140.0,656747.0,2024,pres,CA
San Benito,15179.0,11702.0,27652.0,2024,pres,CA
San Bernardino,362114.0,378416.0,761846.0,2024,pres,CA
San Diego,841372.0,593270.0,1478028.0,2024,pres,CA
San Francisco,323719.0,62594.0,402997.0,2024,pres,CA
San Joaquin,126647.0,128996.0,263709.0,2024,pres,CA
San Luis Obispo,81314.0,64932.0,150812.0,2024,pres,CA
San Mateo,242957.0,76616.0,330565.0,2024,pres,CA
Santa Barbara,114149.0,64870.0,184781.0,2024,pres,CA
Santa Clara,510744.0,210924.0,750606.0,2024,pres,CA
Santa Cruz,100998.0,27978.0,134155.0,2024,pres,CA
Shasta,27130.0,59539.0,88919.0,2024,pres,CA
Sierra,641.0,1066.0,1755.0,2024,pres,CA
Siskiyou,8329.0,12461.0,21498.0,2024,pres,CA
Solano,113997.0,70345.0,189883.0,2024,pres,CA
Sonoma,179600.0,63426.0,251465.0,2024,pres,CA
Stanislaus,85347.0,106986.0,197525.0,2024,pres,CA
Sutter,13016.0,25372.0,39339.0,2024,pres,CA
Tehama,7415.0,18503.0,26536.0,2024,pres,CA
Trinity,2449.0,2979.0,5646.0,2024,pres,CA
Tulare,53221.0,81854.0,138309.0,2024,pres,CA
Tuolumne,10909.0,17210.0,28816.0,2024,pres,CA
Ventura,217424.0,158901.0,387704.0,2024,pres,CA
Yolo,61405.0,27844.0,92621.0,2024,pres,CA
Yuba,10725.0,18491.0,30072.0,2024,pres,CA
Beaver,357.0,2695.0,3100.0,2020,pres,UT
Box Elder,4473.0,21548.0,27027.0,2020,pres,UT
Cache,16650.0,38032.0,57571.0,2020,pres,UT
Carbon,2392.0,6693.0,9369.0,2020,pres,UT
Daggett,111.0,496.0,619.0,2020,pres,UT
Davis,57411.0,104135.0,169895.0,2020,pres,UT
Duchesne,843.0,7513.0,8524.0,2020,pres,UT
Emery,572.0,4207.0,4865.0,2020,pres,UT
Garfield,514.0,2158.0,2732.0,2020,pres,UT
