county,dem_votes,rep_votes,total_votes,year,office,state
Beaver,357.0,2695.0,3100.0,2020,pres,UT
Box Elder,4473.0,21548.0,27027.0,2020,pres,UT
Cache,16650.0,38032.0,57571.0,2020,pres,UT
Carbon,2392.0,6693.0,9369.0,2020,pres,UT
Daggett,111.0,496.0,619.0,2020,pres,UT
Davis,57411.0,104135.0,169895.0,2020,pres,UT
Duchesne,843.0,7513.0,8524.0,2020,pres,UT
Emery,572.0,4207.0,4865.0,2020,pres,UT
Garfield,514.0,2158.0,2732.0,2020,pres,UT
Grand,2806.0,2248.0,5185.0,2020,pres,UT
Iron,4892.0,18989.0,24890.0,2020,pres,UT
Juab,645.0,5087.0,5866.0,2020,pres,UT
Kane,1083.0,2998.0,4180.0,2020,pres,UT
Millard,624.0,5404.0,6160.0,2020,pres,UT
Morgan,1086.0,5181.0,6512.0,2020,pres,UT
Piute,86.0,773.0,871.0,2020,pres,UT
Rich,180.0,1157.0,1363.0,2020,pres,UT
Salt Lake,289906.0,230174.0,541175.0,2020,pres,UT
San Juan,3113.0,3535.0,6878.0,2020,pres,UT
Sanpete,1794.0,10459.0,12631.0,2020,pres,UT
Sevier,1084.0,9052.0,10363.0,2020,pres,UT
Summit,15244.0,10252.0,26088.0,2020,pres,UT
Tooele,8943.0,21014.0,31518.0,2020,pres,UT
Uintah,1663.0,13261.0,15307.0,2020,pres,UT
Utah,76033.0,192812.0,284480.0,2020,pres,UT
Wasatch,6187.0,10795.0,17581.0,2020,pres,UT
Washington,20530.0,67294.0,90476.0,2020,pres,UT
Wayne,365.0,1229.0,1621.0,2020,pres,UT
Weber,40695.0,65949.0,111442.0,2020,pres,UT
