Outcome,Column,Specification,Original_Coef,Original_SE,Replicated_Coef,Replicated_SE,Coef_Diff,N_Obs,N_Clusters
Turnout,1,Basic,0.021,0.009,0.0212,0.0093,0.0002,1240,126
Turnout,2,Linear,0.022,0.007,0.0215,0.0065,-0.0005,1240,126
Turnout,3,Quadratic,0.021,0.008,0.021,0.0072,-0.0,1240,126
VBM Share,4,Basic,0.186,0.027,0.186,0.0264,0.0,580,58
VBM Share,5,Linear,0.157,0.035,0.1575,0.0329,0.0005,580,58
VBM Share,6,Quadratic,0.136,0.085,0.1359,0.0756,-0.0001,580,58
