Specification,Dem_Turnout_Coef,Dem_Turnout_SE,Dem_Turnout_N,Dem_Vote_Coef,Dem_Vote_SE,Dem_Vote_N
Basic,0.007236402277974084,0.0031063007711430632,986,0.02846535113199833,0.011256357249150086,1998
Linear Trends,0.0011508271618353462,0.0014091283838221444,986,0.010860313490371549,0.003761244857820633,1998
Quadratic Trends,0.0009376863939001295,0.0011384941938484057,986,0.0065276241051384605,0.003206686700227023,1998
