Specification,Turnout_Coef,Turnout_SE,Turnout_N,VBM_Share_Coef,VBM_Share_SE,VBM_Share_N
Basic,0.02120661043967074,0.009255745678761683,1240,0.18603814039340444,0.026422552433986148,580
Linear Trends,0.021501318187115842,0.006486282863306781,1240,0.15745336201175653,0.032896468436412404,580
Quadratic Trends,0.021030965666071797,0.007190680947509279,1240,0.13589588042585882,0.07557657080061887,580
