Column,Outcome,Specification,Original_Coef,Original_SE,Replicated_Coef,Replicated_SE,Difference_Coef,N_obs,N_counties,N_elections
1,Dem Turnout Share,Basic,0.007,0.003,0.0072,0.0031,0.0002,986,87,23
2,Dem Turnout Share,Linear Trends,0.001,0.001,0.0012,0.0014,0.0002,986,87,23
3,Dem Turnout Share,Quad Trends,0.001,0.001,0.0009,0.0011,-0.0001,986,87,23
4,Dem Vote Share,Basic,0.028,0.011,0.0285,0.0113,0.0005,1998,126,31
5,Dem Vote Share,Linear Trends,0.011,0.004,0.0109,0.0038,-0.0001,1998,126,31
6,Dem Vote Share,Quad Trends,0.007,0.003,0.0065,0.0032,-0.0005,1998,126,31
