event_time,coef,se,ci_lower,ci_upper
-6,0.004340608963623786,0.006052076528467656,-0.00752146103217282,0.016202678959420392
-4,-0.0035728590690806603,0.00556104163549154,-0.014472500674644078,0.007326782536482756
0,-0.0073907269224276345,0.009381123786315919,-0.025777729543606836,0.010996275698751567
2,-0.003299052268468061,0.014087901718725888,-0.030911339637170798,0.024313235100234677
4,-0.013559317537538978,0.02393109205819926,-0.06046425797160953,0.03334562289653157
6,-0.016955696420601293,0.03461283362476787,-0.08479685032514632,0.05088545748394373
