event_time,coef,se,ci_lower,ci_upper
-6,0.004925715831977233,0.006608667256362575,-0.008027271990493412,0.01787870365444788
-4,-0.0021638700688905504,0.004470632900367787,-0.010926310553611412,0.006598570415830312
0,-0.0023950733542612568,0.005673637997640612,-0.013515403829636856,0.008725257121114343
2,0.0011982050769841995,0.010355154117249776,-0.01909789699282536,0.021494307146793762
4,0.013046951845012051,0.01905444095985105,-0.02429975243629601,0.050393656126320116
6,0.0152501949887411,0.026526284935808414,-0.03674132348544339,0.0672417134629256
