state,county,year,prim_or_gen,treat,vca18,vca20,vca_eligible18,vca_eligible20,all_mail2006,ut_all_mail_year,switch_year,registered,ballots_cast,eligible,cvap,vbm_share,turnout_share,turnout_of_reg,dem_share_gov,dem_share_pres,dem_share_sen,share_votes_dem,share_votes_rep,county_id,state_year_id,pres,prim
CA,Colusa,2008,general,0,0.0,0.0,0.0,1.0,,,,7866.0,6532.0,11912.0,,0.49341702,0.6025521,0.83040935,,0.40764835476875305,,0.3155806,0.49561402,6,6,1,0
CA,Colusa,2012,general,0,0.0,0.0,0.0,1.0,,,,7765.0,6092.0,12364.0,11675.0,0.558109,0.52179873,0.784546,,0.39120879769325256,,0.30363816,0.49577188,6,8,1,0
CA,Colusa,2016,general,0,0.0,0.0,0.0,1.0,,,,8638.0,6814.0,12496.0,12230.0,0.61740535,0.55715454,0.78884,,0.42836445569992065,,0.31741485,0.4469914,6,10,1,0
CA,Colusa,2020,gen,0,,,,,,,,,,,,,,,,0.4152542372881356,,,,6,37,1,0
CA,Colusa,2024,gen,0,,,,,,,,,,,,,,,,,,,,6,39,1,0
CA,Contra Costa,2000,general,0,0.0,0.0,0.0,1.0,,,,,,,,,,,,0.6134297251701355,,0.51918876,0.28400692,7,2,1,0
CA,Contra Costa,2004,general,0,0.0,0.0,0.0,1.0,,,,504505.0,418335.0,666026.0,,0.35880575,0.6624256,0.8291989,,0.630737841129303,,0.5148154,0.25905964,7,4,1,0
CA,Contra Costa,2008,general,0,0.0,0.0,0.0,1.0,,,,527145.0,456876.0,699136.0,,0.4758337,0.7038824,0.8666989,,0.6923090815544128,,0.51939803,0.2344698,7,6,1,0
CA,Contra Costa,2012,general,0,0.0,0.0,0.0,1.0,,,,556351.0,442143.0,703217.0,682915.0,0.5562748,0.6474349,0.7947195,,0.6805431842803955,,0.52084464,0.23010996,7,8,1,0
CA,Contra Costa,2016,general,0,0.0,0.0,0.0,1.0,,,,607515.0,481355.0,743816.0,730755.0,0.6426006,0.65870917,0.7923343,,0.7335833311080933,,0.51758015,0.21357769,7,10,1,0
CA,Contra Costa,2020,gen,0,,,,,,,,,,,,,,,,0.731447503175158,,,,7,37,1,0
CA,Contra Costa,2024,gen,0,,,,,,,,,,,,,,,,,,,,7,39,1,0
CA,Del Norte,2000,general,0,0.0,0.0,0.0,1.0,,,,,,,,,,,,0.40782415866851807,,0.35027948,0.45914292,8,2,1,0
CA,Del Norte,2004,general,0,0.0,0.0,0.0,1.0,,,,12860.0,9491.0,16932.0,,0.35075334,0.46553668,0.7380249,,0.42084774374961853,,0.3460026,0.43999252,8,4,1,0
CA,Del Norte,2008,general,0,0.0,0.0,0.0,1.0,,,,12681.0,9684.0,17812.0,,0.48440728,0.46049717,0.76366216,,0.4653390645980835,,0.34746796,0.42175108,8,6,1,0
CA,Del Norte,2012,general,0,0.0,0.0,0.0,1.0,,,,12516.0,8879.0,18250.0,21335.0,0.5922964,0.4161706,0.709412,,0.451041042804718,,0.34197566,0.42699885,8,8,1,0
CA,Del Norte,2016,general,0,0.0,0.0,0.0,1.0,,,,14318.0,9790.0,17996.0,21065.0,0.62686414,0.46475196,0.68375474,,0.4043392539024353,,0.32871807,0.41441873,8,10,1,0
CA,Del Norte,2020,gen,0,,,,,,,,,,,,,,,,0.4199138085832286,,,,8,37,1,0
CA,Del Norte,2024,gen,0,,,,,,,,,,,,,,,,,,,,8,39,1,0
CA,El Dorado,2000,general,0,0.0,1.0,0.0,1.0,,,,,,,,,,,,0.38409140706062317,,0.30821002,0.48036638,9,2,1,0
CA,El Dorado,2004,general,0,0.0,1.0,0.0,1.0,,,,105687.0,87314.0,119947.0,,0.39432395,0.74180716,0.8261565,,0.37878289818763733,,0.3004547,0.46260837,9,4,1,0
CA,El Dorado,2008,general,0,0.0,1.0,0.0,1.0,,,,111325.0,93890.0,127969.0,,0.5472255,0.74819374,0.8433865,,0.44614335894584656,,0.30217606,0.4461809,9,6,1,0
CA,El Dorado,2012,general,0,0.0,1.0,0.0,1.0,,,,110634.0,89601.0,134289.0,133260.0,0.7142108,0.6723773,0.80988663,,0.4082471430301666,,0.2988616,0.44927013,9,8,1,0
CA,El Dorado,2016,general,0,0.0,1.0,0.0,1.0,,,,116459.0,97024.0,137103.0,136940.0,0.7616157,0.7085147,0.83311725,,0.42502713203430176,,0.3000459,0.43274757,9,10,1,0
CA,El Dorado,2020,gen,1,,,,,,,,,,,,,,,,0.4549749248627257,,,,9,37,1,0
CA,El Dorado,2024,gen,1,,,,,,,,,,,,,,,,,,,,9,39,1,0
CA,Fresno,2000,general,0,0.0,1.0,0.0,1.0,,,,,,,,,,,,0.44754496216773987,,0.3839206,0.47361696,10,2,1,0
CA,Fresno,2004,general,0,0.0,1.0,0.0,1.0,,,,352197.0,249905.0,497537.0,,0.38460216,0.529172,0.7095603,,0.4207928478717804,,0.3762526,0.45858482,10,4,1,0
CA,Fresno,2008,general,0,0.0,1.0,0.0,1.0,,,,382827.0,275554.0,535683.0,,0.45320335,0.55305105,0.71978724,,0.5106285810470581,,0.39380857,0.4183157,10,6,1,0
CA,Fresno,2012,general,0,0.0,1.0,0.0,1.0,,,,410188.0,261652.0,559268.0,530090.0,0.5431222,0.4935992,0.6378831,,0.5091456174850464,,0.39361316,0.41323572,10,8,1,0
CA,Fresno,2016,general,0,0.0,1.0,0.0,1.0,,,,437423.0,291890.0,583238.0,566160.0,0.5485046,0.515561,0.66729456,,0.5325784683227539,,0.39636713,0.3797254,10,10,1,0
CA,Fresno,2020,gen,1,,,,,,,,,,,,,,,,0.539946683674183,,,,10,37,1,0
CA,Fresno,2024,gen,1,,,,,,,,,,,,,,,,,,,,10,39,1,0
CA,Glenn,2000,general,0,0.0,0.0,0.0,1.0,,,,,,,,,,,,0.3012178838253021,,0.28719053,0.5532831,11,2,1,0
CA,Glenn,2004,general,0,0.0,0.0,0.0,1.0,,,,11938.0,9523.0,16710.0,,0.43610206,0.59037024,0.7977048,,0.3219391703605652,,0.2729107,0.5406087,11,4,1,0
CA,Glenn,2008,general,0,0.0,0.0,0.0,1.0,,,,12421.0,10053.0,17568.0,,0.3678504,0.5953413,0.80935514,,0.3871837556362152,,0.28402367,0.50722444,11,6,1,0
CA,Glenn,2012,general,0,0.0,0.0,0.0,1.0,,,,12542.0,9334.0,18059.0,17420.0,0.74105424,0.5358209,0.7442194,,0.36952871084213257,,0.27765444,0.50933784,11,8,1,0
CA,Glenn,2016,general,0,0.0,0.0,0.0,1.0,,,,12835.0,9736.0,18459.0,16830.0,0.7830731,0.5784908,0.7585508,,0.3462103307247162,,0.27968103,0.45855483,11,10,1,0
CA,Glenn,2020,gen,0,,,,,,,,,,,,,,,,0.36127690359920417,,,,11,37,1,0
CA,Glenn,2024,gen,0,,,,,,,,,,,,,,,,,,,,11,39,1,0
CA,Humboldt,2000,general,0,0.0,0.0,0.0,1.0,,,,,,,,,,,,0.5169752240180969,,0.47936398,0.3178403,12,2,1,0
CA,Humboldt,2004,general,0,0.0,0.0,0.0,1.0,,,,84924.0,66435.0,97610.0,,0.29112667,0.68559194,0.7822877,,0.596339225769043,,0.4727547,0.2877115,12,4,1,0
CA,Humboldt,2008,general,0,0.0,0.0,0.0,1.0,,,,79140.0,64358.0,99474.0,,0.40633643,0.64950126,0.8132171,,0.6463968753814697,,0.47526518,0.2712586,12,6,1,0
CA,Humboldt,2012,general,0,0.0,0.0,0.0,1.0,,,,80038.0,58092.0,104544.0,103770.0,0.51946914,0.559815,0.7258052,,0.6466912031173706,,0.47638002,0.26897648,12,8,1,0
