county,dem_votes,rep_votes,total_votes,year,office,state,cvap_approx,dem_voteshare,turnout
Island,23680,19275,43057,2022,Senate,WA,65113,0.5512745896868816,0.6612657994563298
Jefferson,14970,6185,21199,2022,Senate,WA,26654,0.7076341290475066,0.7953402866361522
King,668692,220307,890942,2022,Senate,WA,1403233,0.752185323043108,0.634920929026042
Kitsap,70939,52134,123351,2022,Senate,WA,198585,0.5763977476782073,0.6211496336581313
Kittitas,8318,12446,20798,2022,Senate,WA,33658,0.40059718743979966,0.6179214451244875
Klickitat,4798,6639,11455,2022,Senate,WA,15941,0.41951560723966075,0.7185872906342137
Lewis,11263,24654,35992,2022,Senate,WA,59065,0.3135840966673163,0.6093625666638449
Lincoln,1423,4716,6154,2022,Senate,WA,8629,0.2317967095618179,0.7131764978560667
Mason,13777,15612,29475,2022,Senate,WA,48746,0.46878083636734835,0.6046649981536947
Okanogan,6644,9926,16604,2022,Senate,WA,30618,0.4009656004828002,0.5422953818015547
Pacific,5771,6137,11943,2022,Senate,WA,17798,0.4846321800470272,0.671030452859872
Pend Oreille,2032,4739,6787,2022,Senate,WA,10665,0.30010338207059517,0.6363806844819503
Pierce,175164,156331,332454,2022,Senate,WA,599373,0.5284061599722469,0.5546696297631024
San Juan,8254,3055,11326,2022,Senate,WA,13451,0.729861172517464,0.8420191807300572
Skagit,29316,27394,56849,2022,Senate,WA,87075,0.5169458649268207,0.6528739592305484
Skamania,2620,3599,6227,2022,Senate,WA,8910,0.42128959639813474,0.6988776655443322
Snohomish,184430,135339,320633,2022,Senate,WA,516715,0.5767600986962463,0.6205219511723097
Spokane,100719,120369,221531,2022,Senate,WA,369425,0.4555606817194963,0.5996643432361102
Stevens,6073,16803,22919,2022,Senate,WA,34609,0.2654747333449904,0.6622265884596492
Thurston,73189,52570,126106,2022,Senate,WA,195043,0.5819782281983794,0.6465548622611424
Wahkiakum,1007,1551,2565,2022,Senate,WA,3353,0.3936669272869429,0.7649865791828213
Walla Walla,10039,14192,24260,2022,Senate,WA,43697,0.4143039907556436,0.5551868549328329
Whatcom,65950,45038,111170,2022,Senate,WA,156098,0.5942083828882402,0.7121808094914733
Whitman,7824,7848,15707,2022,Senate,WA,37184,0.4992343032159265,0.4224128657487091
Yakima,22541,40188,62865,2022,Senate,WA,146961,0.35933938050981207,0.42776655030926575
Adams,1455,3767,5345,2024,President,WA,9799,0.2786288778245883,0.5454638228390652
Asotin,4082,7004,11396,2024,President,WA,17969,0.36821215948042574,0.6342033502142579
Benton,37662,59555,99947,2024,President,WA,121453,0.3874013804170053,0.8229273875490931
Chelan,18397,22363,41893,2024,President,WA,52424,0.4513493621197252,0.7991187242484359
Clallam,25440,21632,48390,2024,President,WA,61089,0.540448674371176,0.7921229681284683
Clark,143206,123998,274795,2024,President,WA,309767,0.5359425757099444,0.887102241362056
Columbia,661,1737,2476,2024,President,WA,3401,0.2756463719766472,0.7280211702440459
Cowlitz,22825,34580,59020,2024,President,WA,79728,0.3976134483058967,0.7402669074854505
Douglas,7410,13095,21069,2024,President,WA,24999,0.36137527432333577,0.84279371174847
Ferry,1315,2667,4096,2024,President,WA,6229,0.3302360622802612,0.6575694332958741
Franklin,11884,19086,31739,2024,President,WA,36591,0.38372618663222474,0.8673990872072368
Garfield,330,973,1343,2024,President,WA,1935,0.25326170376055257,0.6940568475452197
Grant,10806,24326,36069,2024,President,WA,53715,0.30758283046794943,0.6714884110583635
Grays Harbor,17161,19432,37638,2024,President,WA,58451,0.4689694750362091,0.6439239705052094
Island,29595,20967,52075,2024,President,WA,65716,0.5853209920493652,0.7924249802179073
Jefferson,17459,6324,24572,2024,President,WA,26901,0.73409578270193,0.9134232928143935
King,832606,252193,1122881,2024,President,WA,1416226,0.7675209877590227,0.7928685110992172
Kitsap,91731,59080,155893,2024,President,WA,200424,0.6082513874982595,0.7778160300163653
Kittitas,10810,14645,26309,2024,President,WA,33970,0.4246709880180711,0.774477480129526
Klickitat,5917,7178,13527,2024,President,WA,16088,0.45185185185185184,0.8408130283441074
Lewis,14433,29322,45112,2024,President,WA,59612,0.32985944463489886,0.7567603838153392
Lincoln,1678,5272,7107,2024,President,WA,8709,0.2414388489208633,0.8160523596279711
Mason,17215,18127,36502,2024,President,WA,49197,0.4870975043857167,0.741955810313637
Okanogan,8466,11555,20617,2024,President,WA,30902,0.42285600119874134,0.6671736457187237
Pacific,6825,7010,14178,2024,President,WA,17963,0.493314058547163,0.7892890942492902
Pend Oreille,2461,5826,8497,2024,President,WA,10764,0.29697115964764087,0.7893905611296915
Pierce,235169,188194,436685,2024,President,WA,604923,0.5554783956084968,0.721885264736173
San Juan,9539,2890,12939,2024,President,WA,13576,0.7674792823235981,0.953078962875663
Skagit,36956,30765,69837,2024,President,WA,87881,0.545709602634338,0.7946768926161514
Skamania,3147,3961,7314,2024,President,WA,8992,0.4427405740011255,0.8133896797153025
Snohomish,240099,161371,415327,2024,President,WA,521500,0.5980496674720402,0.7964084372003835
Spokane,131163,145338,284958,2024,President,WA,372845,0.4743671813121833,0.7642800627606646
Stevens,7492,19895,28095,2024,President,WA,34929,0.27356044838792126,0.804345958945289
Thurston,95663,62282,163637,2024,President,WA,196849,0.6056728608059767,0.831281845475466
Wahkiakum,1204,1757,3053,2024,President,WA,3384,0.4066193853427896,0.9021867612293144
Walla Walla,13106,15476,29373,2024,President,WA,44101,0.45854034007417255,0.6660393188363075
Whatcom,83295,49213,137006,2024,President,WA,157543,0.6286035560117125,0.8696419390261706
Whitman,10480,8699,19845,2024,President,WA,37529,0.546430992231086,0.5287910682405607
Yakima,36706,49368,88280,2024,President,WA,148322,0.4264470107117132,0.5951915427246127
