county,dem_votes,rep_votes,total_votes,year,office,state,cvap_approx,dem_voteshare,turnout
Colusa,1553,4009,5562,2022,Governor,CA,12865,0.2792161093131967,0.4323357947920715
Contra Costa,265371,123132,388503,2022,Governor,CA,782829,0.6830603624682435,0.49628079695565697
Del Norte,3264,5111,8375,2022,Governor,CA,21434,0.3897313432835821,0.39073434729868434
El Dorado,34534,54137,88671,2022,Governor,CA,146723,0.38946216914210957,0.6043428773948188
Fresno,98417,120668,219085,2022,Governor,CA,604282,0.4492183399137321,0.3625542379220298
Glenn,1930,6000,7930,2022,Governor,CA,17566,0.24337957124842372,0.4514402823636571
Humboldt,29541,18257,47798,2022,Governor,CA,109616,0.618038411649023,0.43604948182747044
Imperial,16711,13158,29869,2022,Governor,CA,106725,0.5594763801935116,0.27986882173811195
Inyo,3382,4095,7477,2022,Governor,CA,14206,0.4523204493780928,0.5263269041250176
Kern,69701,119002,188703,2022,Governor,CA,536266,0.3693687964685246,0.3518832072143302
Kings,9389,17523,26912,2022,Governor,CA,96762,0.34887782401902495,0.27812571050619045
Lake,9771,10360,20131,2022,Governor,CA,49712,0.4853708211216532,0.40495252655294495
Lassen,1444,7726,9170,2022,Governor,CA,26151,0.1574700109051254,0.35065580666131313
Los Angeles,1620053,769174,2389227,2022,Governor,CA,6523270,0.6780657509730135,0.36626216606088663
Madera,13283,23678,36961,2022,Governor,CA,94947,0.3593788046860204,0.38928033534498196
Marin,95289,23775,119064,2022,Governor,CA,191927,0.8003174763152591,0.6203608663710681
Mariposa,2944,4896,7840,2022,Governor,CA,14560,0.37551020408163266,0.5384615384615384
Mendocino,19031,11363,30394,2022,Governor,CA,64215,0.6261433177600843,0.47331620337927277
Merced,25200,30073,55273,2022,Governor,CA,155080,0.4559188030322219,0.35641604333247356
Modoc,687,2725,3412,2022,Governor,CA,7004,0.20134818288393905,0.48715019988577957
Mono,2493,2076,4569,2022,Governor,CA,10088,0.5456336178594878,0.45291435368754956
Monterey,65262,36867,102129,2022,Governor,CA,239944,0.6390153629233616,0.4256368152568933
Napa,32437,17671,50108,2022,Governor,CA,98686,0.6473417418376307,0.507751859432949
Nevada,26655,24082,50737,2022,Governor,CA,82087,0.5253562488913416,0.6180881260126451
Orange,464206,492734,956940,2022,Governor,CA,2123498,0.48509415428344516,0.45064323112147975
Placer,73619,108450,182069,2022,Governor,CA,292016,0.4043467037222152,0.6234898087776012
Plumas,3083,5550,8633,2022,Governor,CA,15850,0.357118035445384,0.5446687697160884
Riverside,285000,310901,595901,2022,Governor,CA,1583026,0.47826736320294816,0.3764315936693396
Sacramento,274680,202933,477613,2022,Governor,CA,1068652,0.5751099739747453,0.4469303384076388
San Benito,10428,9150,19578,2022,Governor,CA,38688,0.5326386760649708,0.5060483870967742
San Bernardino,215391,239109,454500,2022,Governor,CA,1401733,0.4739075907590759,0.3242414924953611
