state,county,county_id,year,prim_or_gen,pres,treat,cvap,ballots_cast,ballots_cast_dem_pres,ballots_cast_rep_pres,dem_share_pres,dem_share_gov,dem_share_sen,ballots_cast_dem_gov,ballots_cast_rep_gov,turnout_share,year2,state_year
CA,Imperial,13,2024,general,1,0,103601,54038.0,26083.0,26546.0,0.49560128446293866,,,,,0.5215972818795186,4096576,CA_2024
CA,Inyo,14,2020,general,1,0,14190,9484.0,4634.0,4620.0,0.5007564296520424,,,,,0.6683579985905568,4080400,CA_2020
CA,Inyo,14,2022,general,0,0,14190,7477.0,,,,0.4523204493780928,,3382.0,4095.0,0.5269203664552502,4088484,CA_2022
CA,Inyo,14,2024,general,1,0,14190,8953.0,4201.0,4468.0,0.4846002999192525,,,,,0.6309372797744891,4096576,CA_2024
CA,Kern,15,2020,general,1,0,550337,305292.0,133366.0,164484.0,0.4477622964579486,,,,,0.5547364614772403,4080400,CA_2020
CA,Kern,15,2022,general,0,0,550337,188712.0,,,,0.36937767603544025,,69706.0,119006.0,0.34290262148465395,4088484,CA_2022
CA,Kern,15,2024,general,1,0,550337,283284.0,108241.0,167879.0,0.39200709836303055,,,,,0.5147464190123506,4096576,CA_2024
CA,Kings,16,2020,general,1,0,93805,43861.0,18699.0,24072.0,0.4371887493862664,,,,,0.46757635520494645,4080400,CA_2020
CA,Kings,16,2022,general,0,1,93805,26912.0,,,,0.34887782401902495,,9389.0,17523.0,0.2868930227599808,4088484,CA_2022
CA,Kings,16,2024,general,1,1,93805,41508.0,15519.0,25074.0,0.38230729436109673,,,,,0.4424924044560524,4096576,CA_2024
CA,Lake,17,2020,general,1,0,49770,28812.0,14941.0,13123.0,0.5323902508551881,,,,,0.5789029535864979,4080400,CA_2020
CA,Lake,17,2022,general,0,0,49770,20131.0,,,,0.4853708211216532,,9771.0,10360.0,0.40448061080972475,4088484,CA_2022
CA,Lake,17,2024,general,1,0,49770,26761.0,12794.0,13161.0,0.49293007127721056,,,,,0.5376933895921238,4096576,CA_2024
CA,Lassen,18,2020,general,1,0,23317,11987.0,2799.0,8970.0,0.23782819270966096,,,,,0.5140884333319038,4080400,CA_2020
CA,Lassen,18,2022,general,0,0,23317,9170.0,,,,0.1574700109051254,,1444.0,7726.0,0.3932752927048934,4088484,CA_2022
CA,Lassen,18,2024,general,1,0,23317,11371.0,2478.0,8619.0,0.22330359556636928,,,,,0.4876699403868422,4096576,CA_2024
CA,Los Angeles,19,2020,general,1,1,6394560,4264365.0,3028885.0,1145530.0,0.7255831056567208,,,,,0.6668738740429365,4080400,CA_2020
CA,Los Angeles,19,2022,general,0,1,6394560,2389227.0,,,,0.6780657509730135,,1620053.0,769174.0,0.37363430791172497,4088484,CA_2022
CA,Los Angeles,19,2024,general,1,1,6394560,3729089.0,2417109.0,1189862.0,0.6701215507416056,,,,,0.5831658472201371,4096576,CA_2024
CA,Madera,20,2020,general,1,1,97627,53732.0,23168.0,29378.0,0.44090891790050624,,,,,0.5503805299763385,4080400,CA_2020
CA,Madera,20,2022,general,0,1,97627,36961.0,,,,0.3593788046860204,,13283.0,23678.0,0.37859403648580825,4088484,CA_2022
CA,Madera,20,2024,general,1,1,97627,54632.0,20981.0,32344.0,0.393455227379278,,,,,0.5595992911796941,4096576,CA_2024
CA,Marin,21,2020,general,1,0,185340,155830.0,128288.0,24612.0,0.839032047089601,,,,,0.8407791086651559,4080400,CA_2020
CA,Marin,21,2022,general,0,1,185340,119064.0,,,,0.8003174763152591,,95289.0,23775.0,0.6424085464551634,4088484,CA_2022
CA,Marin,21,2024,general,1,1,185340,144129.0,116152.0,24054.0,0.8284381552857938,,,,,0.7776464875364195,4096576,CA_2024
CA,Mariposa,22,2020,general,1,1,13315,10280.0,4088.0,5950.0,0.4072524407252441,,,,,0.7720615846789335,4080400,CA_2020
CA,Mariposa,22,2022,general,0,1,13315,7840.0,,,,0.37551020408163266,,2944.0,4896.0,0.588809613218175,4088484,CA_2022
CA,Mariposa,22,2024,general,1,1,13315,9509.0,3622.0,5625.0,0.39169460365523956,,,,,0.7141569658280135,4096576,CA_2024
CA,Mendocino,23,2020,general,1,0,65431,43340.0,28782.0,13267.0,0.684487145948774,,,,,0.6623771606730755,4080400,CA_2020
CA,Mendocino,23,2022,general,0,0,65431,30394.0,,,,0.6261433177600843,,19031.0,11363.0,0.46451987589980287,4088484,CA_2022
CA,Mendocino,23,2024,general,1,0,65431,39219.0,24049.0,13528.0,0.6399925486334727,,,,,0.5993947822897403,4096576,CA_2024
CA,Merced,24,2020,general,1,0,166079,90554.0,48991.0,39397.0,0.5542720731320994,,,,,0.5452465392975632,4080400,CA_2020
CA,Merced,24,2022,general,0,1,166079,55273.0,,,,0.4559188030322219,,25200.0,30073.0,0.3328114933254656,4088484,CA_2022
CA,Merced,24,2024,general,1,1,166079,86411.0,40190.0,43955.0,0.4776279042129657,,,,,0.5203005798445318,4096576,CA_2024
CA,Modoc,25,2020,general,1,0,6607,4343.0,1150.0,3109.0,0.2700164357830477,,,,,0.6573331315271681,4080400,CA_2020
CA,Modoc,25,2022,general,0,0,6607,3412.0,,,,0.20134818288393905,,687.0,2725.0,0.5164219766913879,4088484,CA_2022
CA,Modoc,25,2024,general,1,0,6607,4016.0,1008.0,2884.0,0.2589928057553957,,,,,0.6078401695171788,4096576,CA_2024
CA,Mono,26,2020,general,1,0,9616,6738.0,4013.0,2513.0,0.6149249157217285,,,,,0.7007071547420965,4080400,CA_2020
CA,Mono,26,2022,general,0,0,9616,4569.0,,,,0.5456336178594878,,2493.0,2076.0,0.47514559068219636,4088484,CA_2022
CA,Mono,26,2024,general,1,0,9616,6064.0,3522.0,2294.0,0.6055708390646493,,,,,0.6306156405990017,4096576,CA_2024
CA,Monterey,27,2020,general,1,0,241736,163923.0,113953.0,46299.0,0.7110862890946759,,,,,0.6781075222556839,4080400,CA_2020
CA,Monterey,27,2022,general,0,0,241736,102129.0,,,,0.6390153629233616,,65262.0,36867.0,0.4224815501207929,4088484,CA_2022
CA,Monterey,27,2024,general,1,0,241736,146754.0,93060.0,49226.0,0.6540348312553589,,,,,0.6070837607969024,4096576,CA_2024
CA,Napa,28,2020,general,1,1,96043,72150.0,49817.0,20676.0,0.7066942817017292,,,,,0.7512260133481878,4080400,CA_2020
CA,Napa,28,2022,general,0,1,96043,50108.0,,,,0.6473417418376307,,32437.0,17671.0,0.5217246441697989,4088484,CA_2022
CA,Napa,28,2024,general,1,1,96043,65561.0,43212.0,20357.0,0.6797652944045054,,,,,0.6826213258644566,4096576,CA_2024
CA,Nevada,29,2020,general,1,1,81581,64750.0,36359.0,26779.0,0.5758655643194273,,,,,0.7936897071622069,4080400,CA_2020
CA,Nevada,29,2022,general,0,1,81581,50737.0,,,,0.5253562488913416,,26655.0,24082.0,0.6219217710006006,4088484,CA_2022
CA,Nevada,29,2024,general,1,1,81581,62144.0,33784.0,26177.0,0.5634328980503994,,,,,0.7617459947781959,4096576,CA_2024
CA,Orange,30,2020,general,1,1,2130945,1522113.0,814009.0,676498.0,0.5461289346510952,,,,,0.7142901388820453,4080400,CA_2020
CA,Orange,30,2022,general,0,1,2130945,956940.0,,,,0.48509415428344516,,464206.0,492734.0,0.44906837107480485,4088484,CA_2022
CA,Orange,30,2024,general,1,1,2130945,1391307.0,691731.0,654815.0,0.5137076639045379,,,,,0.6529061050379057,4096576,CA_2024
CA,Placer,31,2020,general,1,0,311090,235084.0,106869.0,122488.0,0.46595046150760605,,,,,0.7556784210357131,4080400,CA_2020
CA,Placer,31,2022,general,0,0,311090,182069.0,,,,0.4043467037222152,,73619.0,108450.0,0.5852614998874923,4088484,CA_2022
CA,Placer,31,2024,general,1,1,311090,234871.0,103958.0,123941.0,0.4561582104353244,,,,,0.7549937317175094,4096576,CA_2024
CA,Plumas,32,2020,general,1,0,15821,11260.0,4561.0,6445.0,0.41441032164274033,,,,,0.7117122811453132,4080400,CA_2020
CA,Plumas,32,2022,general,0,0,15821,8633.0,,,,0.357118035445384,,3083.0,5550.0,0.5456671512546615,4088484,CA_2022
CA,Plumas,32,2024,general,1,0,15821,10070.0,4020.0,5725.0,0.4125192406362237,,,,,0.6364957967258706,4096576,CA_2024
CA,Riverside,33,2020,general,1,0,1654262,997156.0,528340.0,449144.0,0.5405101259969473,,,,,0.6027799707664203,4080400,CA_2020
CA,Riverside,33,2022,general,0,1,1654262,595901.0,,,,0.47826736320294816,,285000.0,310901.0,0.36022165775433396,4088484,CA_2022
CA,Riverside,33,2024,general,1,1,1654262,940510.0,451782.0,463677.0,0.4935032590208846,,,,,0.5685375109867723,4096576,CA_2024
CA,Sacramento,34,2020,general,1,1,1104256,718440.0,440808.0,259405.0,0.6295341560353778,,,,,0.6506100034774545,4080400,CA_2020
CA,Sacramento,34,2022,general,0,1,1104256,477613.0,,,,0.5751099739747453,,274680.0,202933.0,0.43252017648081603,4088484,CA_2022
CA,Sacramento,34,2024,general,1,1,1104256,656747.0,381564.0,252140.0,0.6021170767424538,,,,,0.5947416178857077,4096576,CA_2024
