county,cvap,cvap_moe
Beaver,4761,155
Box Elder,41367,221
Cache,94311,620
Carbon,15208,67
Daggett,610,87
Davis,250105,855
Duchesne,13369,77
Emery,7154,55
Garfield,4037,50
Grand,7603,177
Iron,44144,346
Juab,8352,37
Kane,6428,71
Millard,8607,162
Morgan,8523,61
Piute,1356,101
Rich,1866,63
Salt Lake,809053,3383
San Juan,10264,67
Sanpete,21547,264
Sevier,15718,99
Summit,31005,352
Tooele,53205,315
Uintah,24852,229
Utah,450907,1464
Wasatch,24443,280
Washington,142420,965
Wayne,1959,67
Weber,188247,963
