county,cvap,cvap_moe
Alameda,1104010,4528
Alpine,1150,168
Amador,33475,277
Butte,163370,715
Calaveras,36995,312
Colusa,12605,401
Contra Costa,791470,3626
Del Norte,20655,296
El Dorado,147070,812
Fresno,624635,2542
Glenn,18545,430
Humboldt,106755,631
Imperial,103945,1783
Inyo,14335,219
Kern,543555,2589
Kings,95475,1166
Lake,50220,453
Lassen,25095,277
Los Angeles,6410095,10901
Madera,94435,1418
Marin,188120,1230
Mariposa,13470,312
Mendocino,66235,750
Merced,158800,1841
Modoc,6785,131
Mono,9445,333
Monterey,241250,2391
Napa,96315,1074
Nevada,81715,762
Orange,2127355,7474
Placer,301335,1387
Plumas,15990,124
Riverside,1610450,4999
Sacramento,1095810,3582
San Benito,41830,715
San Bernardino,1406300,5189
San Diego,2304925,4702
San Francisco,633650,3041
San Joaquin,487135,2986
San Luis Obispo,220680,1184
San Mateo,502615,2962
Santa Barbara,287625,2336
Santa Clara,1176135,4956
Santa Cruz,193475,1365
Shasta,138510,639
Sierra,2445,163
Siskiyou,34190,225
Solano,318515,1734
Sonoma,354880,1981
Stanislaus,349335,2160
Sutter,63935,899
Tehama,46600,649
Trinity,12720,233
Tulare,268455,2514
Tuolumne,44720,348
Ventura,573110,2834
Yolo,149865,1676
Yuba,55535,567
