county,dem_votes,rep_votes,total_votes
Adams,1455,3767,5365
Asotin,4082,7004,11468
Benton,37662,59555,100693
Chelan,18397,22363,42191
Clallam,25440,21632,48663
Clark,143206,123998,276578
Columbia,661,1737,2485
Cowlitz,22825,34580,59325
Douglas,7410,13095,21182
Ferry,1315,2667,4119
Franklin,11884,19086,31897
Garfield,330,973,1352
Grant,10806,24326,36253
Grays Harbor,17161,19432,37793
Island,29595,20967,52449
Jefferson,17459,6324,24698
King,832606,252193,1130502
Kitsap,91731,59080,156872
Kittitas,10810,14645,26499
Klickitat,5917,7178,13607
Lewis,14433,29322,45338
Lincoln,1678,5272,7144
Mason,17215,18127,36689
Okanogan,8466,11555,20732
Pacific,6825,7010,14244
Pend Oreille,2461,5826,8545
Pierce,235169,188194,439581
San Juan,9539,2890,13006
Skagit,36956,30765,70256
Skamania,3147,3961,7355
Snohomish,240099,161371,418221
Spokane,131163,145338,287082
Stevens,7492,19895,28246
Thurston,95663,62282,164537
Wahkiakum,1204,1757,3062
Walla Walla,13106,15476,29568
Whatcom,83295,49213,137868
Whitman,10480,8699,20027
Yakima,36706,49368,88751
