county,cvap,cvap_moe
Adams,10025,442
Asotin,17425,174
Benton,140170,1193
Chelan,54745,676
Clallam,63125,284
Clark,366850,1249
Columbia,3190,58
Cowlitz,83440,425
Douglas,27660,434
Ferry,5955,33
Franklin,53040,1091
Garfield,1830,81
Grant,59250,1064
Grays Harbor,58375,413
Island,69025,403
Jefferson,28590,227
King,1546015,4787
Kitsap,213455,731
Kittitas,35965,222
Klickitat,17190,255
Lewis,62630,405
Lincoln,8515,52
Mason,50840,349
Okanogan,28820,408
Pacific,19000,179
Pend Oreille,10890,55
Pierce,669245,1885
San Juan,15070,115
Skagit,95750,583
Skamania,9785,86
Snohomish,580225,2445
Spokane,411495,1170
Stevens,36590,149
Thurston,222665,847
Wahkiakum,3600,123
Walla Walla,46705,423
Whatcom,173495,939
Whitman,37160,392
Yakima,150895,1411
