state,county,cvap,cvap_moe
California,Alameda,1083582,4559
California,Alpine,1273,202
California,Amador,34130,311
California,Butte,157637,908
California,Calaveras,37029,332
California,Colusa,12676,510
California,Contra Costa,792622,3227
California,Del Norte,20599,272
California,El Dorado,148458,945
California,Fresno,633991,2986
California,Glenn,17611,514
California,Humboldt,105903,561
California,Imperial,103601,1770
California,Inyo,14190,223
California,Kern,550337,2979
California,Kings,93805,1261
California,Lake,49770,584
California,Lassen,23317,269
California,Los Angeles,6394560,12318
California,Madera,97627,1415
California,Marin,185340,1432
California,Mariposa,13315,305
California,Mendocino,65431,559
California,Merced,166079,1936
California,Modoc,6607,182
California,Mono,9616,320
California,Monterey,241736,2418
California,Napa,96043,974
California,Nevada,81581,747
California,Orange,2130945,6752
California,Placer,311090,1563
California,Plumas,15821,147
California,Riverside,1654262,4717
California,Sacramento,1104256,3439
California,San Benito,43074,724
California,San Bernardino,1425320,5244
California,San Diego,2315394,6293
California,San Francisco,616394,2803
California,San Joaquin,499410,3006
California,San Luis Obispo,219609,1172
California,San Mateo,494554,2910
California,Santa Barbara,288340,2131
California,Santa Clara,1164887,5524
California,Santa Cruz,191057,1348
California,Shasta,138243,798
California,Sierra,2256,187
California,Siskiyou,33874,222
California,Solano,316980,1788
California,Sonoma,352389,1873
California,Stanislaus,349960,2434
California,Sutter,64188,1105
California,Tehama,45658,498
California,Trinity,12915,325
California,Tulare,273831,2115
California,Tuolumne,44316,295
California,Ventura,573446,2711
California,Yolo,154295,1570
California,Yuba,57584,674
Utah,Beaver,4761,155
Utah,Box Elder,41367,221
Utah,Cache,94311,620
Utah,Carbon,15208,67
Utah,Daggett,610,87
Utah,Davis,250105,855
Utah,Duchesne,13369,77
Utah,Emery,7154,55
Utah,Garfield,4037,50
Utah,Grand,7603,177
Utah,Iron,44144,346
Utah,Juab,8352,37
Utah,Kane,6428,71
Utah,Millard,8607,162
Utah,Morgan,8523,61
Utah,Piute,1356,101
Utah,Rich,1866,63
Utah,Salt Lake,809053,3383
Utah,San Juan,10264,67
Utah,Sanpete,21547,264
Utah,Sevier,15718,99
Utah,Summit,31005,352
Utah,Tooele,53205,315
Utah,Uintah,24852,229
Utah,Utah,450907,1464
Utah,Wasatch,24443,280
Utah,Washington,142420,965
Utah,Wayne,1959,67
Utah,Weber,188247,963
Washington,Adams,9903,405
Washington,Asotin,17729,129
Washington,Benton,144825,1145
Washington,Chelan,55974,742
Washington,Clallam,64145,236
Washington,Clark,378085,1499
Washington,Columbia,3171,93
Washington,Cowlitz,84596,413
Washington,Douglas,28541,511
Washington,Ferry,6054,79
Washington,Franklin,56146,999
Washington,Garfield,1859,84
Washington,Grant,61010,1056
Washington,Grays Harbor,59336,471
Washington,Island,69508,361
Washington,Jefferson,29206,239
Washington,King,1564199,5144
Washington,Kitsap,215858,842
Washington,Kittitas,38188,313
Washington,Klickitat,18038,310
Washington,Lewis,64394,377
Washington,Lincoln,8883,55
Washington,Mason,52127,362
Washington,Okanogan,29999,351
Washington,Pacific,19734,247
Washington,Pend Oreille,11230,81
Washington,Pierce,676964,1821
Washington,San Juan,15596,110
Washington,Skagit,97935,667
Washington,Skamania,10112,75
Washington,Snohomish,585933,2410
Washington,Spokane,419776,1094
Washington,Stevens,37662,120
Washington,Thurston,227096,1008
Washington,Wahkiakum,3817,86
Washington,Walla Walla,46523,476
Washington,Whatcom,178126,959
Washington,Whitman,37497,422
Washington,Yakima,153356,1320
