county,dem_votes,rep_votes,total_votes
Alameda,499551,140789,669907.0
Alpine,479,243,738.0
Amador,7783,14018,22403.0
Butte,44228,47179,94556.0
Calaveras,9181,16625,26480.0
Colusa,2431,4414,7021.0
Contra Costa,356008,155308,528987.0
Del Norte,4266,5999,10565.0
El Dorado,47703,61109,111908.0
Fresno,151628,165924,326049.0
Glenn,3260,6904,10442.0
Humboldt,39800,21559,64232.0
Imperial,26083,26546,54038.0
Inyo,4201,4468,8953.0
Kern,108241,167879,283284.0
Kings,15519,25074,41508.0
Lake,12794,13161,26761.0
Lassen,2478,8619,11371.0
Los Angeles,2417109,1189862,3729089.0
Madera,20981,32344,54632.0
Marin,116152,24054,144129.0
Mariposa,3622,5625,9509.0
Mendocino,24049,13528,39219.0
Merced,40190,43955,86411.0
Modoc,1008,2884,4016.0
Mono,3522,2294,6064.0
Monterey,93060,49226,146754.0
Napa,43212,20357,65561.0
Nevada,33784,26177,62144.0
Orange,691731,654815,1391307.0
Placer,103958,123941,234871.0
Plumas,4020,5725,10070.0
Riverside,451782,463677,940510.0
Sacramento,381564,252140,656747.0
San Benito,15179,11702,27652.0
San Bernardino,362114,378416,761846.0
San Diego,841372,593270,1478028.0
San Francisco,323719,62594,402997.0
San Joaquin,126647,128996,263709.0
San Luis Obispo,81314,64932,150812.0
San Mateo,242957,76616,330565.0
Santa Barbara,114149,64870,184781.0
Santa Clara,510744,210924,750606.0
Santa Cruz,100998,27978,134155.0
Shasta,27130,59539,88919.0
Sierra,641,1066,1755.0
Siskiyou,8329,12461,21498.0
Solano,113997,70345,189883.0
Sonoma,179600,63426,251465.0
Stanislaus,85347,106986,197525.0
Sutter,13016,25372,39339.0
Tehama,7415,18503,26536.0
Trinity,2449,2979,5646.0
Tulare,53221,81854,138309.0
Tuolumne,10909,17210,28816.0
Ventura,217424,158901,387704.0
Yolo,61405,27844,92621.0
Yuba,10725,18491,30072.0
