county,dem_votes,rep_votes,total_votes
Beaver,357,2695,3100
Box Elder,4473,21548,27027
Cache,16650,38032,57571
Carbon,2392,6693,9369
Daggett,111,496,619
Davis,57411,104135,169895
Duchesne,843,7513,8524
Emery,572,4207,4865
Garfield,514,2158,2732
Grand,2806,2248,5185
Iron,4892,18989,24890
Juab,645,5087,5866
Kane,1083,2998,4180
Millard,624,5404,6160
Morgan,1086,5181,6512
Piute,86,773,871
Rich,180,1157,1363
Salt Lake,289906,230174,541175
San Juan,3113,3535,6878
Sanpete,1794,10459,12631
Sevier,1084,9052,10363
Summit,15244,10252,26088
Tooele,8943,21014,31518
Uintah,1663,13261,15307
Utah,76033,192812,284480
Wasatch,6187,10795,17581
Washington,20530,67294,90476
Wayne,365,1229,1621
Weber,40695,65949,111442
