county,dem_votes,rep_votes,total_votes
Adams,1655,4170,5840
Asotin,4212,7627,11869
Benton,36939,65170,102519
Chelan,17922,24936,43046
Clallam,24366,24640,49088
Clark,138196,132984,271895
Columbia,652,1819,2475
Cowlitz,22213,37453,59859
Douglas,7176,13958,21224
Ferry,1345,3000,4368
Franklin,12803,19488,32387
Garfield,349,1118,1478
Grant,10772,26645,37526
Grays Harbor,16502,21686,38307
Island,28239,25145,53537
Jefferson,16992,7651,24702
King,887374,307022,1198049
Kitsap,87766,69288,157584
Kittitas,10529,15567,26183
Klickitat,5693,7735,13455
Lewis,13821,31306,45249
Lincoln,1526,5450,7002
Mason,16502,20562,37168
Okanogan,8298,12843,21195
Pacific,6514,7463,14018
Pend Oreille,2513,5959,8503
Pierce,238097,220904,460731
San Juan,9621,3465,13109
Skagit,36444,36404,73079
Skamania,3129,4116,7260
Snohomish,244876,189797,436280
Spokane,131734,161138,293925
Stevens,7393,20902,28371
Thurston,93723,72506,166800
Wahkiakum,1102,1862,2970
Walla Walla,13305,17590,30989
Whatcom,81992,55544,137935
Whitman,10806,10056,20934
Yakima,41152,54097,95545
