state,county,county_fips,year,dem_share_pres,total_votes_pres,dem_share_gov,total_votes_gov,dem_share_sen,total_votes_sen,vca_adopted,vca_year,vca_first_year,fips,cvap_2020,treat,treat_new_ca,turnout_pres,turnout_gov,turnout_sen,state_year,county_id
California,GLENN,6021,2022,,,0.24337957124842372,7930.0,,,0.0,,9999.0,0500000US06021,17465,0,0,,0.4540509590609791,,California_2022,California_GLENN
California,GLENN,6021,2024,0.31220072782991765,10442.0,,,,,0.0,,9999.0,0500000US06021,17465,0,0,0.5978814772401947,,,California_2024,California_GLENN
California,HUMBOLDT,6023,2020,0.6504329633288778,68828.0,,,,,1.0,2022.0,2022.0,0500000US06023,106930,0,0,0.6436734312166839,,,California_2020,California_HUMBOLDT
California,HUMBOLDT,6023,2022,,,0.618038411649023,47798.0,,,1.0,2022.0,2022.0,0500000US06023,106930,1,1,,0.44700271205461517,,California_2022,California_HUMBOLDT
California,HUMBOLDT,6023,2024,0.6196674347636545,64228.0,,,,,1.0,2022.0,2022.0,0500000US06023,106930,1,1,0.600654633872627,,,California_2024,California_HUMBOLDT
California,IMPERIAL,6025,2020,0.6114108395923693,56718.0,,,,,1.0,2022.0,2022.0,0500000US06025,103405,0,0,0.5485034572796287,,,California_2020,California_IMPERIAL
California,IMPERIAL,6025,2022,,,0.5594763801935116,29869.0,,,1.0,2022.0,2022.0,0500000US06025,103405,1,1,,0.2888545041342295,,California_2022,California_IMPERIAL
California,IMPERIAL,6025,2024,0.4827950023137436,54025.0,,,,,1.0,2022.0,2022.0,0500000US06025,103405,1,1,0.5224602291958803,,,California_2024,California_IMPERIAL
California,INYO,6027,2020,0.48876700769960973,9481.0,,,,,0.0,,9999.0,0500000US06027,13580,0,0,0.6981590574374079,,,California_2020,California_INYO
California,INYO,6027,2022,,,0.4523204493780928,7477.0,,,0.0,,9999.0,0500000US06027,13580,0,0,,0.5505891016200295,,California_2022,California_INYO
California,INYO,6027,2024,0.4693330354150374,8951.0,,,,,0.0,,9999.0,0500000US06027,13580,0,0,0.6591310751104565,,,California_2024,California_INYO
California,KERN,6029,2020,0.4369418070544449,305226.0,,,,,0.0,,9999.0,0500000US06029,529780,0,0,0.5761372645248971,,,California_2020,California_KERN
California,KERN,6029,2022,,,0.3693687964685246,188703.0,,,0.0,,9999.0,0500000US06029,529780,0,0,,0.3561912491977802,,California_2022,California_KERN
California,KERN,6029,2024,0.38214484935356546,283246.0,,,,,0.0,,9999.0,0500000US06029,529780,0,0,0.53464834459587,,,California_2024,California_KERN
California,KINGS,6031,2020,0.42635323088148114,43858.0,,,,,1.0,2022.0,2022.0,0500000US06031,93220,0,0,0.4704784381034113,,,California_2020,California_KINGS
California,KINGS,6031,2022,,,0.34887782401902495,26912.0,,,1.0,2022.0,2022.0,0500000US06031,93220,1,1,,0.2886934134305943,,California_2022,California_KINGS
California,KINGS,6031,2024,0.37394279655911905,41501.0,,,,,1.0,2022.0,2022.0,0500000US06031,93220,1,1,0.44519416434241577,,,California_2024,California_KINGS
California,LAKE,6033,2020,0.5187847222222223,28800.0,,,,,0.0,,9999.0,0500000US06033,48080,0,0,0.5990016638935108,,,California_2020,California_LAKE
California,LAKE,6033,2022,,,0.4853708211216532,20131.0,,,0.0,,9999.0,0500000US06033,48080,0,0,,0.418698003327787,,California_2022,California_LAKE
California,LAKE,6033,2024,0.47811951119249596,26759.0,,,,,0.0,,9999.0,0500000US06033,48080,0,0,0.5565515806988353,,,California_2024,California_LAKE
California,LASSEN,6035,2020,0.23354192740926158,11985.0,,,,,0.0,,9999.0,0500000US06035,24475,0,0,0.48968335035750765,,,California_2020,California_LASSEN
California,LASSEN,6035,2022,,,0.1574700109051254,9170.0,,,0.0,,9999.0,0500000US06035,24475,0,0,,0.3746680286006129,,California_2022,California_LASSEN
California,LASSEN,6035,2024,0.21792278603464954,11371.0,,,,,0.0,,9999.0,0500000US06035,24475,0,0,0.4645965270684372,,,California_2024,California_LASSEN
California,LOS ANGELES,6037,2020,0.7104316863154967,4263443.0,,,,,1.0,2020.0,2020.0,0500000US06037,6367650,1,1,0.6695473212252557,,,California_2020,California_LOS ANGELES
California,LOS ANGELES,6037,2022,,,0.6780657509730135,2389227.0,,,1.0,2020.0,2020.0,0500000US06037,6367650,1,1,,0.3752133047513604,,California_2022,California_LOS ANGELES
California,LOS ANGELES,6037,2024,0.648291893605534,3728427.0,,,,,1.0,2020.0,2020.0,0500000US06037,6367650,1,1,0.5855263715813526,,,California_2024,California_LOS ANGELES
California,MADERA,6039,2020,0.4312572130598265,53722.0,,,,,1.0,2018.0,2018.0,0500000US06039,93350,1,1,0.5754900910551687,,,California_2020,California_MADERA
California,MADERA,6039,2022,,,0.3593788046860204,36961.0,,,1.0,2018.0,2018.0,0500000US06039,93350,1,1,,0.3959400107123728,,California_2022,California_MADERA
California,MADERA,6039,2024,0.3840985647334505,54624.0,,,,,1.0,2018.0,2018.0,0500000US06039,93350,1,1,0.5851526513122657,,,California_2024,California_MADERA
California,MARIN,6041,2020,0.8234093491055898,155801.0,,,,,1.0,2022.0,2022.0,0500000US06041,185435,0,0,0.8401919810176073,,,California_2020,California_MARIN
California,MARIN,6041,2022,,,0.8003174763152591,119064.0,,,1.0,2022.0,2022.0,0500000US06041,185435,1,1,,0.6420794348423976,,California_2022,California_MARIN
California,MARIN,6041,2024,0.8059786417602853,144113.0,,,,,1.0,2022.0,2022.0,0500000US06041,185435,1,1,0.7771618087200367,,,California_2024,California_MARIN
California,MARIPOSA,6043,2020,0.3976653696498054,10280.0,,,,,1.0,2020.0,2020.0,0500000US06043,14065,1,1,0.730892285815855,,,California_2020,California_MARIPOSA
California,MARIPOSA,6043,2022,,,0.37551020408163266,7840.0,,,1.0,2020.0,2020.0,0500000US06043,14065,1,1,,0.5574120156416636,,California_2022,California_MARIPOSA
California,MARIPOSA,6043,2024,0.3809023030812914,9509.0,,,,,1.0,2020.0,2020.0,0500000US06043,14065,1,1,0.6760753643796659,,,California_2024,California_MARIPOSA
California,MENDOCINO,6045,2020,0.664159128669005,43336.0,,,,,0.0,,9999.0,0500000US06045,62395,0,0,0.694542831957689,,,California_2020,California_MENDOCINO
California,MENDOCINO,6045,2022,,,0.6261433177600843,30394.0,,,0.0,,9999.0,0500000US06045,62395,0,0,,0.4871223655741646,,California_2022,California_MENDOCINO
California,MENDOCINO,6045,2024,0.6132445940432476,39216.0,,,,,0.0,,9999.0,0500000US06045,62395,0,0,0.6285118999919865,,,California_2024,California_MENDOCINO
California,MERCED,6047,2020,0.5410918810262754,90541.0,,,,,1.0,2022.0,2022.0,0500000US06047,152160,0,0,0.5950381177707676,,,California_2020,California_MERCED
California,MERCED,6047,2022,,,0.4559188030322219,55273.0,,,1.0,2022.0,2022.0,0500000US06047,152160,1,1,,0.3632557833859096,,California_2022,California_MERCED
California,MERCED,6047,2024,0.465205111584406,86392.0,,,,,1.0,2022.0,2022.0,0500000US06047,152160,1,1,0.5677707676130389,,,California_2024,California_MERCED
California,MODOC,6049,2020,0.26509912402028585,4338.0,,,,,0.0,,9999.0,0500000US06049,6800,0,0,0.6379411764705882,,,California_2020,California_MODOC
California,MODOC,6049,2022,,,0.20134818288393905,3412.0,,,0.0,,9999.0,0500000US06049,6800,0,0,,0.5017647058823529,,California_2022,California_MODOC
California,MODOC,6049,2024,0.250996015936255,4016.0,,,,,0.0,,9999.0,0500000US06049,6800,0,0,0.5905882352941176,,,California_2024,California_MODOC
California,MONO,6051,2020,0.5956657265845332,6737.0,,,,,0.0,,9999.0,0500000US06051,10185,0,0,0.6614629356897398,,,California_2020,California_MONO
California,MONO,6051,2022,,,0.5456336178594878,4569.0,,,0.0,,9999.0,0500000US06051,10185,0,0,,0.44860088365243006,,California_2022,California_MONO
California,MONO,6051,2024,0.5808047493403694,6064.0,,,,,0.0,,9999.0,0500000US06051,10185,0,0,0.5953853706431026,,,California_2024,California_MONO
California,MONTEREY,6053,2020,0.6953314254681694,163883.0,,,,,0.0,,9999.0,0500000US06053,236780,0,0,0.6921319368189881,,,California_2020,California_MONTEREY
California,MONTEREY,6053,2022,,,0.6390153629233616,102129.0,,,0.0,,9999.0,0500000US06053,236780,0,0,,0.43132443618548866,,California_2022,California_MONTEREY
California,MONTEREY,6053,2024,0.6342780026990553,146718.0,,,,,0.0,,9999.0,0500000US06053,236780,0,0,0.6196384829799814,,,California_2024,California_MONTEREY
California,NAPA,6055,2020,0.6907323701505782,72122.0,,,,,1.0,2018.0,2018.0,0500000US06055,96215,1,1,0.7495920594501897,,,California_2020,California_NAPA
California,NAPA,6055,2022,,,0.6473417418376307,50108.0,,,1.0,2018.0,2018.0,0500000US06055,96215,1,1,,0.5207919763030713,,California_2022,California_NAPA
California,NAPA,6055,2024,0.659232024897405,65549.0,,,,,1.0,2018.0,2018.0,0500000US06055,96215,1,1,0.6812763082679416,,,California_2024,California_NAPA
California,NEVADA,6057,2020,0.5616330439618153,64738.0,,,,,1.0,2018.0,2018.0,0500000US06057,79685,1,1,0.8124239191817783,,,California_2020,California_NEVADA
California,NEVADA,6057,2022,,,0.5253562488913416,50737.0,,,1.0,2018.0,2018.0,0500000US06057,79685,1,1,,0.636719583359478,,California_2022,California_NEVADA
California,NEVADA,6057,2024,0.543745573939355,62132.0,,,,,1.0,2018.0,2018.0,0500000US06057,79685,1,1,0.7797201480830771,,,California_2024,California_NEVADA
California,ORANGE,6059,2020,0.5349251671622665,1521725.0,,,,,1.0,2020.0,2020.0,0500000US06059,2094495,1,1,0.726535513333763,,,California_2020,California_ORANGE
California,ORANGE,6059,2022,,,0.48509415428344516,956940.0,,,1.0,2020.0,2020.0,0500000US06059,2094495,1,1,,0.4568834014881869,,California_2022,California_ORANGE
California,ORANGE,6059,2024,0.497302951548026,1390965.0,,,,,1.0,2020.0,2020.0,0500000US06059,2094495,1,1,0.6641051900338745,,,California_2024,California_ORANGE
California,PLACER,6061,2020,0.45472880685227024,235017.0,,,,,1.0,2022.0,2022.0,0500000US06061,290875,0,0,0.8079656209712076,,,California_2020,California_PLACER
California,PLACER,6061,2022,,,0.4043467037222152,182069.0,,,1.0,2022.0,2022.0,0500000US06061,290875,1,1,,0.6259355393210142,,California_2022,California_PLACER
California,PLACER,6061,2024,0.44273430745840237,234809.0,,,,,1.0,2022.0,2022.0,0500000US06061,290875,1,1,0.8072505371723249,,,California_2024,California_PLACER
California,PLUMAS,6063,2020,0.40520611229566456,11256.0,,,,,0.0,,9999.0,0500000US06063,15450,0,0,0.7285436893203884,,,California_2020,California_PLUMAS
California,PLUMAS,6063,2022,,,0.357118035445384,8633.0,,,0.0,,9999.0,0500000US06063,15450,0,0,,0.5587702265372169,,California_2022,California_PLUMAS
California,PLUMAS,6063,2024,0.3993245256779577,10067.0,,,,,0.0,,9999.0,0500000US06063,15450,0,0,0.6515857605177994,,,California_2024,California_PLUMAS
California,RIVERSIDE,6065,2020,0.5299822517758263,996156.0,,,,,1.0,2022.0,2022.0,0500000US06065,1590050,0,0,0.6264935064935065,,,California_2020,California_RIVERSIDE
California,RIVERSIDE,6065,2022,,,0.47826736320294816,595901.0,,,1.0,2022.0,2022.0,0500000US06065,1590050,1,1,,0.3747687179648439,,California_2022,California_RIVERSIDE
California,RIVERSIDE,6065,2024,0.4804121628447318,940405.0,,,,,1.0,2022.0,2022.0,0500000US06065,1590050,1,1,0.5914310870727335,,,California_2024,California_RIVERSIDE
California,SACRAMENTO,6067,2020,0.6136908490999458,718290.0,,,,,1.0,2018.0,2018.0,0500000US06067,1055095,1,1,0.6807822992242405,,,California_2020,California_SACRAMENTO
California,SACRAMENTO,6067,2022,,,0.5751099739747453,477613.0,,,1.0,2018.0,2018.0,0500000US06067,1055095,1,1,,0.45267298205374873,,California_2022,California_SACRAMENTO
California,SACRAMENTO,6067,2024,0.5810979157084855,656626.0,,,,,1.0,2018.0,2018.0,0500000US06067,1055095,1,1,0.6223382728569465,,,California_2024,California_SACRAMENTO
California,SAN BENITO,6069,2020,0.6116373477672531,28821.0,,,,,1.0,2022.0,2022.0,0500000US06069,39680,0,0,0.726335685483871,,,California_2020,California_SAN BENITO
California,SAN BENITO,6069,2022,,,0.5326386760649708,19578.0,,,1.0,2022.0,2022.0,0500000US06069,39680,1,1,,0.49339717741935485,,California_2022,California_SAN BENITO
California,SAN BENITO,6069,2024,0.5489891135303266,27649.0,,,,,1.0,2022.0,2022.0,0500000US06069,39680,1,1,0.6967993951612903,,,California_2024,California_SAN BENITO
California,SAN BERNARDINO,6071,2020,0.5420884709922693,840931.0,,,,,0.0,,9999.0,0500000US06071,1384075,0,0,0.6075761790365406,,,California_2020,California_SAN BERNARDINO
California,SAN BERNARDINO,6071,2022,,,0.4739075907590759,454500.0,,,0.0,,9999.0,0500000US06071,1384075,0,0,,0.32837815869804743,,California_2022,California_SAN BERNARDINO
California,SAN BERNARDINO,6071,2024,0.47539365168554076,761714.0,,,,,0.0,,9999.0,0500000US06071,1384075,0,0,0.5503415638603399,,,California_2024,California_SAN BERNARDINO
California,SAN DIEGO,6073,2020,0.6022580697524289,1601722.0,,,,,1.0,2022.0,2022.0,0500000US06073,2296505,0,0,0.697460706595457,,,California_2020,California_SAN DIEGO
California,SAN DIEGO,6073,2022,,,0.5579754117969694,1028298.0,,,1.0,2022.0,2022.0,0500000US06073,2296505,1,1,,0.44776649735141005,,California_2022,California_SAN DIEGO
California,SAN DIEGO,6073,2024,0.5693463058927342,1477786.0,,,,,1.0,2022.0,2022.0,0500000US06073,2296505,1,1,0.643493482487519,,,California_2024,California_SAN DIEGO
California,SAN FRANCISCO,6075,2020,0.8527436645634987,443458.0,,,,,0.0,,9999.0,0500000US06075,652670,0,0,0.6794520967717224,,,California_2020,California_SAN FRANCISCO
California,SAN FRANCISCO,6075,2022,,,0.8538342632336648,301466.0,,,0.0,,9999.0,0500000US06075,652670,0,0,,0.4618965173824444,,California_2022,California_SAN FRANCISCO
California,SAN FRANCISCO,6075,2024,0.8033447156569817,402964.0,,,,,0.0,,9999.0,0500000US06075,652670,0,0,0.617408491274304,,,California_2024,California_SAN FRANCISCO
California,SAN JOAQUIN,6077,2020,0.5586441688652524,288443.0,,,,,0.0,,9999.0,0500000US06077,467710,0,0,0.6167133480147955,,,California_2020,California_SAN JOAQUIN
California,SAN JOAQUIN,6077,2022,,,0.48215423657126744,177325.0,,,0.0,,9999.0,0500000US06077,467710,0,0,,0.3791345064249214,,California_2022,California_SAN JOAQUIN
California,SAN JOAQUIN,6077,2024,0.4803220680317517,263671.0,,,,,0.0,,9999.0,0500000US06077,467710,0,0,0.5637489042355306,,,California_2024,California_SAN JOAQUIN
California,SAN LUIS OBISPO,6079,2020,0.5530401237467201,159681.0,,,,,0.0,,9999.0,0500000US06079,220305,0,0,0.7248178661401239,,,California_2020,California_SAN LUIS OBISPO
California,SAN LUIS OBISPO,6079,2022,,,0.5112931538911645,119630.0,,,0.0,,9999.0,0500000US06079,220305,0,0,,0.5430199042236898,,California_2022,California_SAN LUIS OBISPO
California,SAN LUIS OBISPO,6079,2024,0.5393391082870144,150766.0,,,,,0.0,,9999.0,0500000US06079,220305,0,0,0.6843512403259118,,,California_2024,California_SAN LUIS OBISPO
California,SAN MATEO,6081,2020,0.7788837273947046,374138.0,,,,,1.0,2018.0,2018.0,0500000US06081,505585,1,1,0.7400100873245844,,,California_2020,California_SAN MATEO
California,SAN MATEO,6081,2022,,,0.7498434450967004,247517.0,,,1.0,2018.0,2018.0,0500000US06081,505585,1,1,,0.4895655527754977,,California_2022,California_SAN MATEO
California,SAN MATEO,6081,2024,0.7350972739100179,330510.0,,,,,1.0,2018.0,2018.0,0500000US06081,505585,1,1,0.6537179702720611,,,California_2024,California_SAN MATEO
California,SANTA BARBARA,6083,2020,0.6488806119188368,200288.0,,,,,0.0,,9999.0,0500000US06083,283925,0,0,0.7054257286255173,,,California_2020,California_SANTA BARBARA
California,SANTA BARBARA,6083,2022,,,0.5957421661471184,135374.0,,,0.0,,9999.0,0500000US06083,283925,0,0,,0.47679492823809105,,California_2022,California_SANTA BARBARA
California,SANTA BARBARA,6083,2024,0.6179736350594158,184715.0,,,,,0.0,,9999.0,0500000US06083,283925,0,0,0.6505767368142995,,,California_2024,California_SANTA BARBARA
California,SANTA CLARA,6085,2020,0.7265737982086296,850522.0,,,,,1.0,2020.0,2020.0,0500000US06085,1172800,1,1,0.725206343792633,,,California_2020,California_SANTA CLARA
California,SANTA CLARA,6085,2022,,,0.7000931914854354,541895.0,,,1.0,2020.0,2020.0,0500000US06085,1172800,1,1,,0.4620523533424284,,California_2022,California_SANTA CLARA
California,SANTA CLARA,6085,2024,0.680599067471713,750433.0,,,,,1.0,2020.0,2020.0,0500000US06085,1172800,1,1,0.6398644270122783,,,California_2024,California_SANTA CLARA
California,SANTA CRUZ,6087,2020,0.7890135086604603,144796.0,,,,,1.0,2022.0,2022.0,0500000US06087,194295,0,0,0.745237911423351,,,California_2020,California_SANTA CRUZ
