precinct,district,office,writein,party_detailed,party_simplified,candidate,dataverse,mode,votes,jurisdiction_name,state,year,stage,state_po,state_fips,state_cen,state_ic,date,jurisdiction_fips,county_name,county_fips,readme_check,magnitude,special
Fountain Green U,,STATE TREASURER,FALSE,REPUBLICAN,REPUBLICAN,MARLO M OAKS,STATE,TOTAL,25,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Spring City,,STATE TREASURER,FALSE,REPUBLICAN,REPUBLICAN,MARLO M OAKS,STATE,TOTAL,384,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Spring City U Wales U,,STATE TREASURER,FALSE,REPUBLICAN,REPUBLICAN,MARLO M OAKS,STATE,TOTAL,303,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
SSU,,STATE TREASURER,FALSE,REPUBLICAN,REPUBLICAN,MARLO M OAKS,STATE,TOTAL,131,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Sterling Town,,STATE TREASURER,FALSE,REPUBLICAN,REPUBLICAN,MARLO M OAKS,STATE,TOTAL,109,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Sterling U,,STATE TREASURER,FALSE,REPUBLICAN,REPUBLICAN,MARLO M OAKS,STATE,TOTAL,72,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Wales Town,,STATE TREASURER,FALSE,REPUBLICAN,REPUBLICAN,MARLO M OAKS,STATE,TOTAL,116,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Axtell SSD,,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,4,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Centerfield City,,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,14,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Ephraim City 1 (North),,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,51,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Ephraim City 2 (South West),,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,32,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Ephraim City 3 (South East),,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,29,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Ephraim U,,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,3,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Fayette Town,,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,1,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Fairview City,,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,18,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Fairview U,,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,40,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Fountain Green City,,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,27,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Gunnison City,,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,21,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Manti City 1 (South),,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,22,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Manti Cify 2 (Mid),,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,18,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Manti City 3 (North),,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,8,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Mayfield Town,,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,19,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Moroni City,,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,21,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Moroni U,,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,7,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Mt Pleasant City 2 (East),,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,19,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Mt Pleasant City 1 (West),,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,51,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Mt Pleasant 1 U,,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,13,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Mt Pleasant 2 U,,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,15,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Fountain Green U,,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,4,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Spring City,,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,42,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Spring City U Wales U,,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,10,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
SSU,,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,6,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Sterling Town,,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,1,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Sterling U,,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,7,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Wales Town,,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,6,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Axtell SSD,,STATE TREASURER,FALSE,INDEPENDENT AMERICAN PARTY,OTHER,WARREN T ROGERS,STATE,TOTAL,2,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Centerfield City,,STATE TREASURER,FALSE,INDEPENDENT AMERICAN PARTY,OTHER,WARREN T ROGERS,STATE,TOTAL,11,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Ephraim City 1 (North),,STATE TREASURER,FALSE,INDEPENDENT AMERICAN PARTY,OTHER,WARREN T ROGERS,STATE,TOTAL,20,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Ephraim City 2 (South West),,STATE TREASURER,FALSE,INDEPENDENT AMERICAN PARTY,OTHER,WARREN T ROGERS,STATE,TOTAL,9,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Ephraim City 3 (South East),,STATE TREASURER,FALSE,INDEPENDENT AMERICAN PARTY,OTHER,WARREN T ROGERS,STATE,TOTAL,6,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Ephraim U,,STATE TREASURER,FALSE,INDEPENDENT AMERICAN PARTY,OTHER,WARREN T ROGERS,STATE,TOTAL,10,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
Fayette Town,,STATE TREASURER,FALSE,INDEPENDENT AMERICAN PARTY,OTHER,WARREN T ROGERS,STATE,TOTAL,3,SANPETE,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49039,SANPETE,49039,TRUE,1,FALSE
