precinct,district,office,writein,party_detailed,party_simplified,candidate,dataverse,mode,votes,jurisdiction_name,state,year,stage,state_po,state_fips,state_cen,state_ic,date,jurisdiction_fips,county_name,county_fips,readme_check,magnitude,special
RCK01,,COUNTY COMMISSION SEAT A,FALSE,REPUBLICAN,REPUBLICAN,GIL ALMQUIST,,TOTAL,43,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,COUNTY COMMISSION SEAT A,FALSE,,,OVERVOTES,,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,COUNTY COMMISSION SEAT A,FALSE,,,UNDERVOTES,,TOTAL,1,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,COUNTY COMMISSION SEAT B,FALSE,REPUBLICAN,REPUBLICAN,VICTOR IVERSON,,TOTAL,33,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,COUNTY COMMISSION SEAT B,FALSE,DEMOCRAT,DEMOCRAT,CHUCK GOODE,,TOTAL,88,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,COUNTY COMMISSION SEAT B,FALSE,,,OVERVOTES,,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,COUNTY COMMISSION SEAT B,FALSE,,,UNDERVOTES,,TOTAL,7,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,COUNTY COMMISSION SEAT C - SPECIAL 2 YEAR,FALSE,DEMOCRAT,DEMOCRAT,REBECCA WINSOR,,TOTAL,83,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,COUNTY COMMISSION SEAT C - SPECIAL 2 YEAR,FALSE,REPUBLICAN,REPUBLICAN,ADAM SNOW,,TOTAL,39,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,COUNTY COMMISSION SEAT C - SPECIAL 2 YEAR,FALSE,,,OVERVOTES,,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,COUNTY COMMISSION SEAT C - SPECIAL 2 YEAR,FALSE,,,UNDERVOTES,,TOTAL,6,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,COUNTY ATTORNEY,FALSE,LIBERTARIAN,LIBERTARIAN,J ROBERT LATHAM,,TOTAL,58,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,COUNTY ATTORNEY,FALSE,REPUBLICAN,REPUBLICAN,ERIC CLARKE,,TOTAL,45,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,COUNTY ATTORNEY,FALSE,,,OVERVOTES,,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,COUNTY ATTORNEY,FALSE,,,UNDERVOTES,,TOTAL,25,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,COUNTY CLERK/AUDITOR,FALSE,REPUBLICAN,REPUBLICAN,SUSAN LEWIS,,TOTAL,70,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,COUNTY CLERK/AUDITOR,TRUE,,,WRITE-IN TOTALS,,TOTAL,7,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,COUNTY CLERK/AUDITOR,TRUE,,,WRITE-IN: PATRICIA KENT,,TOTAL,3,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,COUNTY CLERK/AUDITOR,FALSE,,,NOT ASSIGNED,,TOTAL,4,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,COUNTY CLERK/AUDITOR,FALSE,,,OVERVOTES,,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,COUNTY CLERK/AUDITOR,FALSE,,,UNDERVOTES,,TOTAL,51,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,COUNTY SHERIFF,FALSE,REPUBLICAN,REPUBLICAN,NATE BROOKSBY,,TOTAL,67,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,COUNTY SHERIFF,FALSE,,,OVERVOTES,,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,COUNTY SHERIFF,FALSE,,,UNDERVOTES,,TOTAL,61,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,005,LOCAL SCHOOL BOARD DISTRICT 5,FALSE,,,EDYTH LANG,,TOTAL,59,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,005,LOCAL SCHOOL BOARD DISTRICT 5,FALSE,,,DAVID B STIRLAND,,TOTAL,57,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,005,LOCAL SCHOOL BOARD DISTRICT 5,FALSE,,,OVERVOTES,,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,005,LOCAL SCHOOL BOARD DISTRICT 5,FALSE,,,UNDERVOTES,,TOTAL,12,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,PAIGE PETERSEN JUDICIAL RETENTION,FALSE,,,YES,,TOTAL,75,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,PAIGE PETERSEN JUDICIAL RETENTION,FALSE,,,NO,,TOTAL,24,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,PAIGE PETERSEN JUDICIAL RETENTION,FALSE,,,OVERVOTES,,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,PAIGE PETERSEN JUDICIAL RETENTION,FALSE,,,UNDERVOTES,,TOTAL,29,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,JEFFREY C WILCOX JUDICIAL RETENTION,FALSE,,,YES,,TOTAL,75,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,JEFFREY C WILCOX JUDICIAL RETENTION,FALSE,,,NO,,TOTAL,21,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,JEFFREY C WILCOX JUDICIAL RETENTION,FALSE,,,OVERVOTES,,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,JEFFREY C WILCOX JUDICIAL RETENTION,FALSE,,,UNDERVOTES,,TOTAL,32,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,TROY A LITTLE JUDICIAL RETENTION,FALSE,,,YES,,TOTAL,77,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,TROY A LITTLE JUDICIAL RETENTION,FALSE,,,NO,,TOTAL,19,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,TROY A LITTLE JUDICIAL RETENTION,FALSE,,,OVERVOTES,,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,TROY A LITTLE JUDICIAL RETENTION,FALSE,,,UNDERVOTES,,TOTAL,32,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,K JAKE GRAFF JUDICIAL RETENTION,FALSE,,,YES,,TOTAL,72,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,K JAKE GRAFF JUDICIAL RETENTION,FALSE,,,NO,,TOTAL,23,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,K JAKE GRAFF JUDICIAL RETENTION,FALSE,,,OVERVOTES,,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,K JAKE GRAFF JUDICIAL RETENTION,FALSE,,,UNDERVOTES,,TOTAL,33,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,KARLIN S MYERS JUDICIAL RETENTION,FALSE,,,YES,,TOTAL,71,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,KARLIN S MYERS JUDICIAL RETENTION,FALSE,,,NO,,TOTAL,23,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,KARLIN S MYERS JUDICIAL RETENTION,FALSE,,,OVERVOTES,,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,KARLIN S MYERS JUDICIAL RETENTION,FALSE,,,UNDERVOTES,,TOTAL,34,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,DOUGLAS A WHITLOCK JUDICIAL RETENTION,FALSE,,,YES,,TOTAL,75,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,DOUGLAS A WHITLOCK JUDICIAL RETENTION,FALSE,,,NO,,TOTAL,22,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,DOUGLAS A WHITLOCK JUDICIAL RETENTION,FALSE,,,OVERVOTES,,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,DOUGLAS A WHITLOCK JUDICIAL RETENTION,FALSE,,,UNDERVOTES,,TOTAL,31,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,CONSTITUTIONAL AMENDMENT A,FALSE,,,FOR,,TOTAL,30,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,CONSTITUTIONAL AMENDMENT A,FALSE,,,AGAINST,,TOTAL,82,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,CONSTITUTIONAL AMENDMENT A,FALSE,,,OVERVOTES,,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
RCK01,,CONSTITUTIONAL AMENDMENT A,FALSE,,,UNDERVOTES,,TOTAL,16,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,REGISTERED VOTERS,FALSE,,,,,TOTAL,1009,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,BALLOTS CAST,FALSE,,,,,TOTAL,597,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,BALLOTS CAST BLANK,FALSE,,,,,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,US SENATE,FALSE,INDEPENDENT,OTHER,EVAN MCMULLIN,SENATE,TOTAL,133,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,US SENATE,FALSE,LIBERTARIAN,LIBERTARIAN,JAMES ARTHUR HANSEN,SENATE,TOTAL,9,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,US SENATE,FALSE,REPUBLICAN,REPUBLICAN,MIKE LEE,SENATE,TOTAL,446,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,US SENATE,FALSE,INDEPENDENT AMERICAN PARTY,OTHER,TOMMY WILLIAMS,SENATE,TOTAL,6,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,US SENATE,TRUE,,,WRITE-IN: LAIRD FETZER HAMBLIN,SENATE,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,US SENATE,TRUE,,,WRITE-IN: ABRAHAM KORB,SENATE,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,US SENATE,TRUE,,,WRITE-IN: MICHAEL SEGUIN,SENATE,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,US SENATE,FALSE,,,NOT ASSIGNED,SENATE,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,US SENATE,FALSE,,,OVERVOTES,SENATE,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,US SENATE,FALSE,,,UNDERVOTES,SENATE,TOTAL,3,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,002,US HOUSE,FALSE,DEMOCRAT,DEMOCRAT,NICK MITCHELL,HOUSE,TOTAL,60,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,002,US HOUSE,FALSE,UNITED UTAH PARTY,OTHER,JAYMAC MCFARLAND,HOUSE,TOTAL,6,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,002,US HOUSE,FALSE,CONSTITUTION PARTY,OTHER,CASSIE EASLEY,HOUSE,TOTAL,20,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,002,US HOUSE,FALSE,REPUBLICAN,REPUBLICAN,CHRIS STEWART,HOUSE,TOTAL,507,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,002,US HOUSE,FALSE,,,OVERVOTES,HOUSE,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,002,US HOUSE,FALSE,,,UNDERVOTES,HOUSE,TOTAL,4,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,STATE TREASURER,FALSE,REPUBLICAN,REPUBLICAN,MARLO M OAKS,STATE,TOTAL,526,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,STATE TREASURER,FALSE,UNITED UTAH PARTY,OTHER,THOMAS ALAN HORNE,STATE,TOTAL,8,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,STATE TREASURER,FALSE,INDEPENDENT AMERICAN PARTY,OTHER,WARREN T ROGERS,STATE,TOTAL,10,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,STATE TREASURER,FALSE,LIBERTARIAN,LIBERTARIAN,JOSEPH GEDDES BUCHMAN,STATE,TOTAL,27,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,STATE TREASURER,FALSE,,,OVERVOTES,STATE,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,STATE TREASURER,FALSE,,,UNDERVOTES,STATE,TOTAL,26,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,074,STATE HOUSE,FALSE,REPUBLICAN,REPUBLICAN,R NEIL WALTER,STATE,TOTAL,525,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,074,STATE HOUSE,FALSE,,,OVERVOTES,STATE,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,074,STATE HOUSE,FALSE,,,UNDERVOTES,STATE,TOTAL,72,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,COUNTY COMMISSION SEAT A,FALSE,DEMOCRAT,DEMOCRAT,ROBERT FORD,,TOTAL,77,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,COUNTY COMMISSION SEAT A,FALSE,REPUBLICAN,REPUBLICAN,GIL ALMQUIST,,TOTAL,501,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,COUNTY COMMISSION SEAT A,FALSE,,,OVERVOTES,,TOTAL,3,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,COUNTY COMMISSION SEAT A,FALSE,,,UNDERVOTES,,TOTAL,16,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,COUNTY COMMISSION SEAT B,FALSE,REPUBLICAN,REPUBLICAN,VICTOR IVERSON,,TOTAL,482,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,COUNTY COMMISSION SEAT B,FALSE,DEMOCRAT,DEMOCRAT,CHUCK GOODE,,TOTAL,89,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,COUNTY COMMISSION SEAT B,FALSE,,,OVERVOTES,,TOTAL,3,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,COUNTY COMMISSION SEAT B,FALSE,,,UNDERVOTES,,TOTAL,23,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,COUNTY COMMISSION SEAT C - SPECIAL 2 YEAR,FALSE,DEMOCRAT,DEMOCRAT,REBECCA WINSOR,,TOTAL,82,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,COUNTY COMMISSION SEAT C - SPECIAL 2 YEAR,FALSE,REPUBLICAN,REPUBLICAN,ADAM SNOW,,TOTAL,492,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,COUNTY COMMISSION SEAT C - SPECIAL 2 YEAR,FALSE,,,OVERVOTES,,TOTAL,3,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,COUNTY COMMISSION SEAT C - SPECIAL 2 YEAR,FALSE,,,UNDERVOTES,,TOTAL,20,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,COUNTY ATTORNEY,FALSE,LIBERTARIAN,LIBERTARIAN,J ROBERT LATHAM,,TOTAL,61,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,COUNTY ATTORNEY,FALSE,REPUBLICAN,REPUBLICAN,ERIC CLARKE,,TOTAL,508,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,COUNTY ATTORNEY,FALSE,,,OVERVOTES,,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,COUNTY ATTORNEY,FALSE,,,UNDERVOTES,,TOTAL,28,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,COUNTY CLERK/AUDITOR,FALSE,REPUBLICAN,REPUBLICAN,SUSAN LEWIS,,TOTAL,517,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,COUNTY CLERK/AUDITOR,TRUE,,,WRITE-IN TOTALS,,TOTAL,39,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,COUNTY CLERK/AUDITOR,TRUE,,,WRITE-IN: PATRICIA KENT,,TOTAL,32,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,COUNTY CLERK/AUDITOR,FALSE,,,NOT ASSIGNED,,TOTAL,7,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,COUNTY CLERK/AUDITOR,FALSE,,,OVERVOTES,,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,COUNTY CLERK/AUDITOR,FALSE,,,UNDERVOTES,,TOTAL,41,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,COUNTY SHERIFF,FALSE,REPUBLICAN,REPUBLICAN,NATE BROOKSBY,,TOTAL,540,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,COUNTY SHERIFF,FALSE,,,OVERVOTES,,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,COUNTY SHERIFF,FALSE,,,UNDERVOTES,,TOTAL,57,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,PAIGE PETERSEN JUDICIAL RETENTION,FALSE,,,YES,,TOTAL,480,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,PAIGE PETERSEN JUDICIAL RETENTION,FALSE,,,NO,,TOTAL,50,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,PAIGE PETERSEN JUDICIAL RETENTION,FALSE,,,OVERVOTES,,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,PAIGE PETERSEN JUDICIAL RETENTION,FALSE,,,UNDERVOTES,,TOTAL,67,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,JEFFREY C WILCOX JUDICIAL RETENTION,FALSE,,,YES,,TOTAL,488,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,JEFFREY C WILCOX JUDICIAL RETENTION,FALSE,,,NO,,TOTAL,41,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,JEFFREY C WILCOX JUDICIAL RETENTION,FALSE,,,OVERVOTES,,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,JEFFREY C WILCOX JUDICIAL RETENTION,FALSE,,,UNDERVOTES,,TOTAL,68,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,TROY A LITTLE JUDICIAL RETENTION,FALSE,,,YES,,TOTAL,480,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,TROY A LITTLE JUDICIAL RETENTION,FALSE,,,NO,,TOTAL,35,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
SC01,,TROY A LITTLE JUDICIAL RETENTION,FALSE,,,OVERVOTES,,TOTAL,0,WASHINGTON,UTAH,2022,GEN,UT,49,87,67,2022-11-08,49053,WASHINGTON,49053,TRUE,1,FALSE
