state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,year
California,6001,Alameda County,136309,617659,769864,-481350.0,0.1770559475439818,0.8022962497272246,-0.6252403021832428,2020
California,6003,Alpine County,244,476,741,-232.0,0.3292847503373819,0.6423751686909581,-0.3130904183535762,2020
California,6005,Amador County,13585,8153,22302,5432.0,0.6091381938839566,0.3655725943861537,0.2435655994978029,2020
California,6007,Butte County,48730,50426,102042,-1696.0,0.4775484604378589,0.4941690676388154,-0.0166206072009564,2020
California,6009,Calaveras County,16518,10046,27164,6472.0,0.6080842291267855,0.369827713149757,0.2382565159770284,2020
California,6011,Colusa County,4554,3234,7951,1320.0,0.5727581436297321,0.4067412904037228,0.1660168532260093,2020
California,6013,Contra Costa County,152877,416386,581230,-263509.0,0.2630232438105397,0.716387660650689,-0.4533644168401493,2020
California,6015,Del Norte County,6461,4677,11452,1784.0,0.5641809290953546,0.4084002794271743,0.1557806496681802,2020
California,6017,El Dorado County,61838,51621,116138,10217.0,0.5324527717026296,0.4444798429454614,0.0879729287571681,2020
California,6019,Fresno County,164464,193025,364809,-28561.0,0.4508222110748364,0.5291124944834146,-0.0782902834085781,2020
California,6021,Glenn County,7063,3995,11292,3068.0,0.625487070492384,0.3537902940134608,0.2716967764789231,2020
California,6023,Humboldt County,21770,44768,68828,-22998.0,0.3162956936130645,0.6504329633288778,-0.3341372697158133,2020
California,6025,Imperial County,20847,34678,56718,-13831.0,0.3675552734581614,0.6114108395923693,-0.2438555661342079,2020
California,6027,Inyo County,4620,4634,9481,-14.0,0.4872903702141124,0.4887670076996097,-0.0014766374854973,2020
California,6029,Kern County,164484,133366,305226,31118.0,0.5388924927758448,0.4369418070544449,0.1019506857213999,2020
California,6031,Kings County,24072,18699,43858,5373.0,0.5488622372201195,0.4263532308814811,0.1225090063386383,2020
California,6033,Lake County,13123,14941,28800,-1818.0,0.4556597222222222,0.5187847222222223,-0.063125,2020
California,6035,Lassen County,8970,2799,11985,6171.0,0.7484355444305382,0.2335419274092615,0.5148936170212766,2020
California,6037,Los Angeles County,1145530,3028885,4263443,-1883355.0,0.2686865990702819,0.7104316863154967,-0.4417450872452148,2020
California,6039,Madera County,29378,23168,53722,6210.0,0.5468523137634489,0.4312572130598265,0.1155951007036223,2020
