outcome,col1_coef,col1_se,col2_coef,col2_se,col3_coef,col3_se,col4_coef,col4_se,col5_coef,col5_se,col6_coef,col6_se
turnout,0.021206610439670665,0.009860009840374355,0.021501318187115943,0.007338626195429339,0.021206610439670794,0.009263225070429742,,,,,,
vbm,,,,,,,0.1860381403934035,0.027879001533210362,0.1574533620117571,0.03681976452889566,0.18603814039340433,0.02646830580580172
