group,vbm_mean,novbm_mean,diff,n_vbm,n_novbm
Republican,0.24000302996767003,0.30344361972118855,-0.06344058975351852,37,5
Swing,0.4608021383769816,0.44557121688920037,0.015230921487781213,27,15
Democratic,0.6422126462603479,0.6725970618095201,-0.03038441554917215,19,23
