outcome,coefficient,std_error,n_obs,n_counties,n_elections
dem_turnout_basic,0.007236402277974055,0.00314321496655565,986,87,23
dem_turnout_linear,,,986,87,23
dem_turnout_quad,,,986,87,23
dem_vote_basic,0.028465351131998377,0.011344755585768716,1998,126,31
dem_vote_linear,,,1998,126,31
dem_vote_quad,,,1998,126,31
