coef,se,t,p,n,r2,note,spec
0.017348655691358798,0.00755059209545144,2.2976550013620547,0.023243558325353186,756,0.9725096363548026,,Baseline (all states)
0.017043012851282003,0.010129657885765947,1.6824865206188855,0.09610207720747344,522,0.9763242823623278,,Exclude WA
0.008269328359470227,0.006895373476219364,1.1992575004079669,0.23337950976015276,582,0.9662943375124665,,Exclude UT
0.002262695696376582,0.010029964191361686,0.2255935966676063,0.8223244397311629,348,0.9718683377492103,,CA only
0.03071452518392935,0.013848626672410958,2.2178751662876723,0.02836979328550293,630,0.9772595590637181,,Pre-COVID (2000-2016)
