period,state,n_obs,n_counties,n_elections,pct_treated,mean_turnout,mean_dem_share
Original (1996-2018),CA,638,58,11,0.7836990595611284,0.5150014843149432,0.48522774776679345
Original (1996-2018),UT,348,29,12,16.954022988505745,0.551490952357136,0.26302629092644003
Original (1996-2018),WA,468,39,12,58.76068376068376,0.5800110052029291,0.4658524146956256
Original (1996-2018),All,1454,126,12,23.31499312242091,0.5415993112469873,0.42808901571801733
Extension (2020-2024),CA,174,58,3,43.103448275862064,0.619837939282515,0.49965597613938334
Extension (2020-2024),UT,87,29,3,100.0,0.7002734369222542,0.24488341463164906
Extension (2020-2024),WA,117,39,3,100.0,0.71209281054859,0.41118156938155737
Extension (2020-2024),All,378,126,3,73.80952380952381,0.666905950480367,0.4136329114784348
Full Sample,CA,812,58,14,9.852216748768473,0.5391945123843828,0.49003715722432345
Full Sample,UT,435,29,15,33.5632183908046,0.5812474492701596,0.25697866549484305
Full Sample,WA,585,39,15,67.008547008547,0.6160333157517458,0.4476287995909362
Full Sample,All,1832,126,15,33.73362445414847,0.570873668249594,0.4232703143048232
