check,outcome,specification,beta,se,n_obs
no2020,dem_share,basic,0.0422961792800406,0.011002941445354157,1008
no2020,dem_share,linear,0.014344438263614073,0.005971974477096108,1008
no2020,dem_share,quad,0.005694346787597313,0.0058516533317690324,1008
no2020,turnout,basic,0.0013202193337993064,0.008347269135146995,1492
no2020,turnout,linear,-0.00027967010855621007,0.008255975956599385,1492
no2020,turnout,quad,0.010531036617019554,0.007049230169492419,1492
ext,only_dem_share,basic,0.009145218807812567,0.0030725088113316853,378
