outcome,specification,original_beta,original_se,replicated_beta,replicated_se,n_obs,n_counties,difference,pct_diff
turnout,basic,0.021,0.009,0.021206610439670696,0.00925948310902854,1240,126,0.00020661043967069512,1.0
turnout,linear,0.022,0.007,0.02150739647576072,0.006488117565962753,1240,126,-0.0004926035242392782,-2.2
turnout,quad,0.021,0.008,0.0223171602148104,0.006554936439529951,1240,126,0.0013171602148103999,6.3
vbm,basic,0.186,0.027,0.18603814039340427,0.026445399435603246,580,58,3.814039340427344e-05,0.0
vbm,linear,0.157,0.035,0.15623560929017613,0.03292921469084725,580,58,-0.00076439070982387,-0.5
vbm,quad,0.136,0.085,0.13576713837845908,0.07304535624857778,580,58,-0.0002328616215409307,-0.2
