table,outcome,specification,beta,se,n_obs,n_counties
table2,dem_share,basic,0.038173104957160676,0.010051780192524886,1134,126
table2,dem_share,linear,0.012347184964143823,0.004641933865826807,1134,126
table2,dem_share,quad,0.004919970010801755,0.004498853559140707,1134,126
table3,turnout,basic,0.003964950569847756,0.008263694508129657,1618,126
table3,turnout,linear,0.0036993223579714226,0.007489793281196674,1618,126
table3,turnout,quad,0.014695044582369119,0.006157791235777308,1618,126
