outcome,specification,treat_beta,treat_se,treat_x_post2018_beta,treat_x_post2018_se,n_obs,n_counties
dem_share,basic,0.02772015375179778,0.007789723985349897,0.016251348502925603,0.015483134919214925,1134,126
dem_share,linear,0.010372624145621106,0.007111810874436867,0.003764334349959886,0.009568536202418864,1134,126
dem_share,quad,0.007028741165365913,0.006536121834482869,-0.004847481520468816,0.00838969090838415,1134,126
turnout,basic,0.018484374375640437,0.008961028962433002,-0.027719276937784965,0.016295025915732037,1618,126
turnout,linear,0.017332745933842507,0.008303697781199064,-0.03335463989434726,0.015564467404846738,1618,126
turnout,quad,0.02073624313777458,0.007819303843781482,-0.019263459361685484,0.012217122250269148,1618,126
