outcome,specification,original_beta,original_se,replicated_beta,replicated_se,n_obs,n_counties,difference,pct_diff
dem_turnout,basic,0.007,0.003,0.007236402277973996,0.003107878775192646,986,87,0.00023640227797399552,3.4
dem_turnout,linear,0.001,0.001,0.0011325801848946287,0.0014087598478018193,986,87,0.00013258018489462867,13.3
dem_turnout,quad,0.001,0.001,0.0009151330586965241,0.0011223760121521567,986,87,-8.486694130347588e-05,-8.5
dem_vote,basic,0.028,0.011,0.02846535113199832,0.011259176624836045,1998,126,0.0004653511319983178,1.7
dem_vote,linear,0.011,0.004,0.010913734519666419,0.0037639003648675053,1998,126,-8.62654803335805e-05,-0.8
dem_vote,quad,0.007,0.003,0.006852739500302573,0.003166871476762636,1998,126,-0.00014726049969742729,-2.1
