Analysis,Outcome,Coefficient,SE,P-value,N
California 1998-2024,dem_share_pres,0.009766797903547524,0.008511838600895202,0.25120108797595253,406
California 1998-2024,dem_share_gov,0.03917194335210869,0.01219776237926266,0.001320880778664435,406
California 1998-2024,turnout_share,0.0180662191198203,0.007974824526100304,0.023487747352080035,754
Three-State 1996-2024,dem_share_pres,0.019168494176833605,0.006744346106297301,0.004480934233597633,950
Three-State 1996-2024,dem_share_gov,0.03163310344852043,0.008378931576956981,0.00015980579070951073,921
Three-State 1996-2024,dem_share_sen,0.0343162061172649,0.012637238592419671,0.006617918106020415,583
Three-State 1996-2024,turnout_share,0.019705297903210413,0.005996939871800636,0.0010165991040707034,1589
